Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%
2,The Lion King,"$1,656,943,394","$543,638,043",32.8%,"$1,113,305,351",67.2%
3,Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%
4,Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.5%,"$741,395,911",65.5%
5,Captain Marvel,"$1,128,274,794","$426,829,839",37.8%,"$701,444,955",62.2%
6,Joker,"$1,074,251,311","$335,451,311",31.2%,"$738,800,000",68.8%
7,Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248","$515,202,542",48%,"$558,941,706",52%
8,Toy Story 4,"$1,073,394,593","$434,038,008",40.4%,"$639,356,585",59.6%
9,Aladdin,"$1,050,693,953","$355,559,216",33.8%,"$695,134,737",66.2%
10,Jumanji: The Next Level,"$800,059,707","$320,314,960",40%,"$479,744,747",60%
11,Fast & Furious Presents: Hobbs & Shaw,"$759,056,935","$173,956,935",22.9%,"$585,100,000",77.1%
12,Ne Zha,"$726,063,471","$3,695,533",0.5%,"$722,367,938",99.5%
13,The Wandering Earth,"$699,856,699","$5,971,413",0.9%,"$693,885,286",99.1%
14,How to Train Your Dragon: The Hidden World,"$521,799,505","$160,799,505",30.8%,"$361,000,000",69.2%
15,Maleficent: Mistress of Evil,"$491,730,089","$113,929,605",23.2%,"$377,800,484",76.8%
16,It Chapter Two,"$473,093,228","$211,593,228",44.7%,"$261,500,000",55.3%
17,"My People, My Country","$450,064,993","$2,356,683",0.5%,"$447,708,310",99.5%
18,Pokémon Detective Pikachu,"$433,005,346","$144,105,346",33.3%,"$288,900,000",66.7%
19,The Secret Life of Pets 2,"$430,051,293","$158,874,395",36.9%,"$271,176,898",63.1%
20,The Captain,"$417,282,021","$706,572",0.2%,"$416,575,449",99.8%
21,Alita: Battle Angel,"$404,980,543","$85,838,210",21.2%,"$319,142,333",78.8%
22,Godzilla: King of the Monsters,"$386,600,138","$110,500,138",28.6%,"$276,100,000",71.4%
23,1917,"$384,983,987","$159,227,644",41.4%,"$225,756,343",58.6%
24,Once Upon a Time... In Hollywood,"$374,375,059","$142,502,728",38.1%,"$231,872,331",61.9%
25,Shazam!,"$365,971,656","$140,371,656",38.4%,"$225,600,000",61.6%
26,Dumbo,"$353,284,621","$114,766,307",32.5%,"$238,518,314",67.5%
27,Crazy Alien,"$327,598,891",-,-,"$327,598,891",100%
28,John Wick: Chapter 3 - Parabellum,"$326,709,727","$171,015,687",52.3%,"$155,694,040",47.7%
29,Knives Out,"$311,605,581","$165,363,234",53.1%,"$146,242,347",46.9%
30,Terminator: Dark Fate,"$261,119,292","$62,253,077",23.8%,"$198,866,215",76.2%
31,Parasite,"$258,633,992","$53,369,749",20.6%,"$205,264,243",79.4%
32,Pegasus,"$255,863,112",-,-,"$255,863,112",100%
33,Us,"$255,184,580","$175,084,580",68.6%,"$80,100,000",31.4%
34,Men in Black: International,"$253,890,701","$80,001,807",31.5%,"$173,888,894",68.5%
35,X-Men: Dark Phoenix,"$252,442,974","$65,845,974",26.1%,"$186,597,000",73.9%
36,Glass,"$246,999,039","$111,048,468",45%,"$135,950,571",55%
37,The Bravest,"$245,179,562","$290,217",0.1%,"$244,889,345",99.9%
38,Annabelle Comes Home,"$231,252,591","$74,152,591",32.1%,"$157,100,000",67.9%
39,Better Days,"$225,918,798","$1,921,657",0.9%,"$223,997,141",99.1%
40,Ford v Ferrari,"$225,508,210","$117,624,357",52.2%,"$107,883,853",47.8%
41,Little Women,"$216,601,214","$108,101,214",49.9%,"$108,500,000",50.1%
42,The Addams Family,"$203,044,905","$100,044,905",49.3%,"$103,000,000",50.7%
43,Rocketman,"$195,179,299","$96,368,160",49.4%,"$98,811,139",50.6%
44,Weathering with You,"$193,957,273","$8,056,636",4.2%,"$185,900,637",95.8%
45,Downton Abbey,"$193,820,755","$96,854,135",50%,"$96,966,620",50%
46,The Lego Movie 2: The Second Part,"$192,306,508","$105,806,508",55%,"$86,500,000",45%
47,Sheep Without a Shepherd,"$191,602,146",-,-,"$191,602,146",100%
48,The White Storm 2: Drug Lords,"$189,396,380","$609,461",0.3%,"$188,786,919",99.7%
49,Abominable,"$179,053,956","$60,716,390",33.9%,"$118,337,566",66.1%
50,Ip Man 4: The Finale,"$176,345,966","$3,956,031",2.2%,"$172,389,935",97.8%
51,Gemini Man,"$173,469,516","$48,546,770",28%,"$124,922,746",72%
52,Spies in Disguise,"$171,616,764","$66,757,013",38.9%,"$104,859,751",61.1%
53,Hustlers,"$157,563,598","$104,963,598",66.6%,"$52,600,000",33.4%
54,The Climbers,"$156,892,866","$487,157",0.3%,"$156,405,709",99.7%
55,Escape Room,"$155,712,077","$57,005,601",36.6%,"$98,706,476",63.4%
56,Yesterday,"$154,608,507","$73,286,650",47.4%,"$81,321,857",52.6%
57,The Angry Birds Movie 2,"$147,792,047","$41,667,116",28.2%,"$106,124,931",71.8%
58,Angel Has Fallen,"$146,661,977","$69,030,436",47.1%,"$77,631,541",52.9%
59,Ad Astra,"$127,461,872","$50,188,370",39.4%,"$77,273,502",60.6%
60,Midway,"$127,420,861","$56,846,802",44.6%,"$70,574,059",55.4%
61,The Upside,"$125,852,517","$108,252,517",86%,"$17,600,000",14%
62,The Curse of La Llorona,"$123,133,739","$54,733,739",44.5%,"$68,400,000",55.5%
63,Looking Up,"$122,994,583","$84,267",<0.1%,"$122,910,316",99.9%
64,Zombieland: Double Tap,"$122,810,399","$73,123,082",59.5%,"$49,687,317",40.5%
65,Last Christmas,"$121,550,750","$35,150,750",28.9%,"$86,400,000",71.1%
66,Extreme Job,"$119,932,733","$1,565,885",1.3%,"$118,366,848",98.7%
67,Dora and the Lost City of Gold,"$119,682,635","$60,477,943",50.5%,"$59,204,692",49.5%
68,Wonder Park,"$119,559,110","$45,216,793",37.8%,"$74,342,317",62.2%
69,P Storm,"$117,991,727","$326,711",0.3%,"$117,665,016",99.7%
70,Detective Conan: The Fist of Blue Sapphire,"$115,570,314",-,-,"$115,570,314",100%
71,The Gentlemen,"$115,171,795","$36,471,795",31.7%,"$78,700,000",68.3%
72,Pet Sematary,"$113,118,226","$54,724,696",48.4%,"$58,393,530",51.6%
73,Boonie Bears: Blast Into the Past,"$112,367,881",-,-,"$112,367,881",100%
74,Good Boys,"$111,037,232","$83,140,306",74.9%,"$27,896,926",25.1%
75,Scary Stories to Tell in the Dark,"$104,545,505","$68,947,075",65.9%,"$35,598,430",34.1%
76,Line Walker 2: Invisible Spy,"$99,482,027","$296,751",0.3%,"$99,185,276",99.7%
77,The New King of Comedy,"$95,618,308",-,-,"$95,618,308",100%
78,The Hustle,"$95,017,038","$35,417,038",37.3%,"$59,600,000",62.7%
79,Adoring,"$94,975,692",-,-,"$94,975,692",100%
80,Crawl,"$91,542,097","$39,014,193",42.6%,"$52,527,904",57.4%
81,Five Feet Apart,"$91,522,094","$45,729,221",50%,"$45,792,873",50%
82,Rambo: Last Blood,"$91,490,353","$44,819,352",49%,"$46,671,001",51%
83,Jojo Rabbit,"$90,335,025","$33,370,906",36.9%,"$56,964,119",63.1%
84,One Piece: Stampede,"$81,562,741","$1,298,528",1.6%,"$80,264,213",98.4%
85,A Dog's Way Home,"$80,708,134","$42,004,346",52%,"$38,703,788",48%
86,Cold Pursuit,"$76,419,755","$32,138,862",42.1%,"$44,280,893",57.9%
87,A Dog's Journey,"$75,741,734","$22,782,371",30.1%,"$52,959,363",69.9%
88,A Madea Family Funeral,"$74,747,725","$73,257,045",98%,"$1,490,680",2%
89,Cats,"$73,833,415","$27,166,770",36.8%,"$46,666,645",63.2%
90,Charlie's Angels,"$73,279,888","$17,803,077",24.3%,"$55,476,811",75.7%
91,Serial (Bad) Weddings 2,"$72,464,131",-,-,"$72,464,131",100%
92,Doctor Sleep,"$72,381,712","$31,581,712",43.6%,"$40,800,000",56.4%
93,What Men Want,"$72,216,294","$54,611,903",75.6%,"$17,604,391",24.4%
94,After,"$69,518,232","$12,138,565",17.5%,"$57,379,667",82.5%
95,Exit,"$69,501,772","$470,699",0.7%,"$69,031,073",99.3%
96,Playing with Fire,"$69,412,425","$44,451,847",64%,"$24,960,578",36%
97,A Beautiful Day in the Neighborhood,"$67,760,877","$61,704,055",91.1%,"$6,056,822",8.9%
98,War,"$67,179,155","$4,654,000",6.9%,"$62,525,155",93.1%
99,Eiga Doraemon: Nobita no getsumen tansaki,"$65,406,606",-,-,"$65,406,606",100%
100,Happy Death Day 2U,"$64,600,152","$28,148,130",43.6%,"$36,452,022",56.4%
101,White Snake,"$61,631,776","$34,730",<0.1%,"$61,597,046",99.9%
102,Bombshell,"$61,404,394","$31,762,808",51.7%,"$29,641,586",48.3%
103,Ashfall,"$61,354,854","$372,562",0.6%,"$60,982,292",99.4%
104,Ma,"$61,105,672","$45,896,028",75.1%,"$15,209,644",24.9%
105,My Best Summer,"$60,011,073",-,-,"$60,011,073",100%
106,Ready or Not,"$57,615,777","$28,714,231",49.8%,"$28,901,546",50.2%
107,Jade Dynasty,"$57,149,764",-,-,"$57,149,764",100%
108,Das perfekte Geheimnis,"$56,573,047",-,-,"$56,573,047",100%
109,The Big Shot,"$56,040,681",-,-,"$56,040,681",100%
110,Hellboy,"$55,064,690","$21,903,748",39.8%,"$33,160,942",60.2%
111,Long Shot,"$53,873,809","$30,316,271",56.3%,"$23,557,538",43.7%
112,Kingdom,"$50,574,061",-,-,"$50,574,061",100%
113,Breakthrough,"$50,444,358","$40,713,082",80.7%,"$9,731,276",19.3%
114,Just Mercy,"$50,401,502","$36,001,502",71.4%,"$14,400,000",28.6%
115,Uncut Gems,"$50,023,780","$50,023,780",100%,-,-
116,21 Bridges,"$49,939,757","$28,539,757",57.1%,"$21,400,000",42.9%
117,Song of Youth,"$49,615,508",-,-,"$49,615,508",100%
118,The Grudge,"$49,511,319","$21,221,803",42.9%,"$28,289,516",57.1%
119,Little,"$48,987,096","$40,860,481",83.4%,"$8,126,615",16.6%
120,Isn't It Romantic,"$48,791,187","$48,791,187",100%,-,-
121,The Legend of Hei,"$48,507,082",-,-,"$48,507,082",100%
122,Countdown,"$48,021,766","$25,621,766",53.4%,"$22,400,000",46.6%
123,Midsommar,"$47,863,365","$27,426,361",57.3%,"$20,437,004",42.7%
