Rank,Release Group,Worldwide,Domestic,%,Foreign,%
124,Queen & Slim,"$47,860,909","$43,808,310",91.5%,"$4,052,599",8.5%
125,47 Meters Down: Uncaged,"$47,582,563","$22,260,900",46.8%,"$25,321,663",53.2%
126,Chasing the Dragon II: Wild Wild Bunch,"$45,733,356","$196,634",0.4%,"$45,536,722",99.6%
127,Judy,"$45,701,880","$24,313,888",53.2%,"$21,387,992",46.8%
128,Child's Play,"$44,907,074","$29,208,403",65%,"$15,698,671",35%
129,Son of a Rich,"$43,833,888",-,-,"$43,833,888",100%
130,Richard Jewell,"$43,745,542","$22,345,542",51.1%,"$21,400,000",48.9%
131,Harriet,"$43,347,017","$43,082,155",99.4%,"$264,862",0.6%
132,A Shaun the Sheep Movie: Farmageddon,"$43,100,248",-,-,"$43,100,248",100%
133,Fighting with My Family,"$40,812,363","$22,958,886",56.3%,"$17,853,477",43.7%
134,Masquerade Hotel,"$40,396,244",-,-,"$40,396,244",100%
135,The Last Wish,"$39,756,292",-,-,"$39,756,292",100%
136,Uri: The Surgical Strike,"$39,346,577","$4,186,168",10.6%,"$35,160,409",89.4%
137,Overcomer,"$38,026,103","$34,746,945",91.4%,"$3,279,158",8.6%
138,Pain and Glory,"$37,359,689","$4,567,338",12.2%,"$32,792,351",87.8%
139,A Witness Out of the Blue,"$37,092,694",-,-,"$37,092,694",100%
140,The Intruder,"$36,599,361","$35,419,122",96.8%,"$1,180,239",3.2%
141,The Queen's Corgi,"$35,515,687",-,-,"$35,515,687",100%
142,Warrior of the Hornor,"$34,291,831",-,-,"$34,291,831",100%
143,The Battle: Roar to Victory,"$34,148,707",-,-,"$34,148,707",100%
144,The Bad Guys: The Movie,"$34,024,386","$166,972",0.5%,"$33,857,414",99.5%
145,The Good Liar,"$33,856,058","$17,156,058",50.7%,"$16,700,000",49.3%
146,The Art of Racing in the Rain,"$33,766,787","$26,395,642",78.2%,"$7,371,145",21.8%
147,Bharat,"$33,185,983","$2,971,549",9%,"$30,214,434",91%
148,Brightburn,"$32,893,421","$17,300,439",52.6%,"$15,592,982",47.4%
149,Fly Me to the Saitama,"$32,802,347",-,-,"$32,802,347",100%
150,UglyDolls,"$32,450,241","$20,150,241",62.1%,"$12,300,000",37.9%
151,Stuber,"$32,390,945","$22,370,452",69.1%,"$10,020,493",30.9%
152,Hit Me Anyone One More Time!,"$32,333,512",-,-,"$32,333,512",100%
153,Somewhere Winter,"$32,218,990",-,-,"$32,218,990",100%
154,The Kid Who Would Be King,"$32,140,970","$16,790,790",52.2%,"$15,350,180",47.8%
155,Two Tigers,"$32,001,580",-,-,"$32,001,580",100%
156,Anna,"$31,626,978","$7,743,794",24.5%,"$23,883,184",75.5%
157,My Dear Liar,"$31,177,968","$90,545",0.3%,"$31,087,423",99.7%
158,The Wild Goose Lake,"$31,065,122","$12,573",<0.1%,"$31,052,549",100%
159,My Hero Academia: Heroes Rising,"$29,971,229","$13,304,000",44.4%,"$16,667,229",55.6%
160,Fall In Love At First Kiss,"$29,206,238",-,-,"$29,206,238",100%
161,Gully Boy,"$28,288,828","$5,566,534",19.7%,"$22,722,294",80.3%
162,Kim Ji-young: Born 1982,"$27,696,393",-,-,"$27,696,393",100%
163,Pokémon: Mewtwo Strikes Back - Evolution,"$27,347,118",-,-,"$27,347,118",100%
164,Almost a Comedy,"$26,990,962",-,-,"$26,990,962",100%
165,Total Dhamaal,"$26,911,995","$2,167,632",8.1%,"$24,744,363",91.9%
166,Missing Link,"$26,565,710","$16,649,539",62.7%,"$9,916,171",37.3%
167,No Manches Frida 2,"$26,493,648","$9,270,920",35%,"$17,222,728",65%
168,The Confidence Man JP,"$26,228,317",-,-,"$26,228,317",100%
169,The Confidence Man JP: The Movie,"$25,958,189",-,-,"$25,958,189",100%
170,"The Gangster, the Cop, the Devil","$25,775,371","$216,494",0.8%,"$25,558,877",99.2%
171,Bodies at Rest,"$25,293,853",-,-,"$25,293,853",100%
172,Booksmart,"$24,959,607","$22,680,962",90.9%,"$2,278,645",9.1%
173,Super 30,"$24,701,637","$2,269,878",9.2%,"$22,431,759",90.8%
174,Skyfire,"$24,375,211","$1,105",<0.1%,"$24,374,106",100%
175,Start-Up,"$24,106,579",-,-,"$24,106,579",100%
176,Pinocchio,"$23,887,194","$1,831,718",7.7%,"$22,055,476",92.3%
177,The Peanut Butter Falcon,"$23,743,627","$20,457,151",86.2%,"$3,286,476",13.8%
178,Little White Lies 2,"$23,613,535",-,-,"$23,613,535",100%
179,Ossan's Love: Love or Dead,"$23,422,744",-,-,"$23,422,744",100%
180,Only Cloud Knows,"$23,410,836",-,-,"$23,410,836",100%
181,Dark Waters,"$23,108,017","$11,136,084",48.2%,"$11,971,933",51.8%
182,The Farewell,"$23,076,657","$17,695,781",76.7%,"$5,380,876",23.3%
183,The Knight of Shadows: Between Yin and Yang,"$22,774,256",-,-,"$22,774,256",100%
184,Black and Blue,"$22,741,061","$22,055,313",97%,"$685,748",3%
185,Late Night,"$22,386,555","$15,499,454",69.2%,"$6,887,101",30.8%
186,A Rainy Day in New York,"$22,002,504",-,-,"$22,002,504",100%
187,Crazy Romance,"$21,386,368",-,-,"$21,386,368",100%
188,Shaft,"$21,360,215","$21,360,215",100%,-,-
189,Unplanned,"$21,354,152","$19,005,109",89%,"$2,349,043",11%
190,Hotel Mumbai,"$21,314,816","$9,651,611",45.3%,"$11,663,205",54.7%
191,Integrity,"$21,290,004",-,-,"$21,290,004",100%
192,The Secret Mission,"$21,083,522",-,-,"$21,083,522",100%
193,This Is Tomas,"$20,084,169",-,-,"$20,084,169",100%
194,The Specials,"$19,363,826",-,-,"$19,363,826",100%
195,Always Miss You,"$19,015,465","$91,884",0.5%,"$18,923,581",99.5%
196,An Officer and a Spy,"$18,878,658",-,-,"$18,878,658",100%
197,Crayon Shin-chan: Honeymoon Hurricane - The Lost Hiroshi,"$18,738,951",-,-,"$18,738,951",100%
198,Greta,"$18,653,107","$10,532,219",56.5%,"$8,120,888",43.5%
199,Peppa Celebrates Chinese New Year,"$18,653,040","$131,225",0.7%,"$18,521,815",99.3%
200,Black Christmas,"$18,529,730","$10,429,730",56.3%,"$8,100,000",43.7%
