Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Avatar,"$2,743,577,587","$749,766,139",27.3%,"$1,993,811,448",72.7%
2,Harry Potter and the Half-Blood Prince,"$933,959,197","$301,959,197",32.3%,"$632,000,000",67.7%
3,Ice Age: Dawn of the Dinosaurs,"$886,686,817","$196,573,705",22.2%,"$690,113,112",77.8%
4,Transformers: Revenge of the Fallen,"$836,303,693","$402,111,870",48.1%,"$434,191,823",51.9%
5,2012,"$769,679,473","$166,112,167",21.6%,"$603,567,306",78.4%
6,Up,"$735,099,082","$293,004,164",39.9%,"$442,094,918",60.1%
7,The Twilight Saga: New Moon,"$709,827,462","$296,623,634",41.8%,"$413,203,828",58.2%
8,Sherlock Holmes,"$524,028,679","$209,028,679",39.9%,"$315,000,000",60.1%
9,Angels & Demons,"$485,930,816","$133,375,846",27.4%,"$352,554,970",72.6%
10,The Hangover,"$468,812,793","$277,322,503",59.2%,"$191,490,290",40.8%
11,Alvin and the Chipmunks: The Squeakquel,"$443,140,005","$219,614,612",49.6%,"$223,525,393",50.4%
12,Night at the Museum: Battle of the Smithsonian,"$413,106,170","$177,243,721",42.9%,"$235,862,449",57.1%
13,Star Trek,"$385,680,446","$257,730,019",66.8%,"$127,950,427",33.2%
14,Monsters vs. Aliens,"$381,509,870","$198,351,526",52%,"$183,158,344",48%
15,X-Men Origins: Wolverine,"$373,062,864","$179,883,157",48.2%,"$193,179,707",51.8%
16,Terminator Salvation,"$371,353,001","$125,322,469",33.7%,"$246,030,532",66.3%
17,Fast & Furious,"$360,364,265","$155,064,265",43%,"$205,300,000",57%
18,Prince of Persia: The Sands of Time,"$336,365,676","$90,759,676",27%,"$245,606,000",73%
19,A Christmas Carol,"$325,286,646","$137,855,863",42.4%,"$187,430,783",57.6%
20,Inglourious Basterds,"$321,455,689","$120,540,719",37.5%,"$200,914,970",62.5%
21,The Proposal,"$317,375,031","$163,958,031",51.7%,"$153,417,000",48.3%
22,The Blind Side,"$309,208,309","$255,959,475",82.8%,"$53,248,834",17.2%
23,G.I. Joe: The Rise of Cobra,"$302,469,017","$150,201,498",49.7%,"$152,267,519",50.3%
24,G-Force,"$292,817,841","$119,436,770",40.8%,"$173,381,071",59.2%
25,The Princess and the Frog,"$267,045,765","$104,400,899",39.1%,"$162,644,866",60.9%
26,This Is It,"$261,183,588","$72,091,016",27.6%,"$189,092,572",72.4%
27,Cloudy with a Chance of Meatballs,"$243,006,126","$124,870,275",51.4%,"$118,135,851",48.6%
28,It's Complicated,"$219,103,655","$112,735,375",51.5%,"$106,368,280",48.5%
29,Public Enemies,"$214,104,620","$97,104,620",45.4%,"$117,000,000",54.6%
