Rank,Release Group,Worldwide,Domestic,%,Foreign,%
171,I'm a Cat Stalker,"$25,221,446",-,-,"$25,221,446",100%
172,Race,"$24,503,269","$1,367,024",5.6%,"$23,136,245",94.4%
173,Detroit Metal City,"$23,744,571",-,-,"$23,744,571",100%
174,Disco,"$23,524,551",-,-,"$23,524,551",100%
175,Paris,"$23,328,518","$1,010,194",4.3%,"$22,318,324",95.7%
176,Under the Same Moon,"$23,313,049","$12,590,147",54%,"$10,722,902",46%
177,"Sorry, If I Love You","$23,249,815",-,-,"$23,249,815",100%
178,Detective Conan: Full Score of Fear,"$22,996,756",-,-,"$22,996,756",100%
179,Kung Fu Dunk,"$22,945,567",-,-,"$22,945,567",100%
180,The Merry Widow,"$22,872,698",-,-,"$22,872,698",100%
181,The Ruins,"$22,818,256","$17,432,844",76.4%,"$5,385,412",23.6%
182,U2,"$22,730,842","$10,363,341",45.6%,"$12,367,501",54.4%
183,The Accidental Husband,"$22,707,064",-,-,"$22,707,064",100%
184,Paco and the Magical Book,"$22,679,633",-,-,"$22,679,633",100%
185,Doomsday,"$22,472,631","$11,008,770",49%,"$11,463,861",51%
186,I've Loved You So Long,"$22,272,176","$3,169,305",14.2%,"$19,102,871",85.8%
187,A.R.O.G,"$22,212,369",-,-,"$22,212,369",100%
188,Ip Man,"$22,108,789",-,-,"$22,108,789",100%
189,Wild Child,"$21,972,336",-,-,"$21,972,336",100%
190,"Grande, grosso e... Verdone","$21,860,130",-,-,"$21,860,130",100%
191,The Flight Before Christmas,"$21,822,495",-,-,"$21,822,495",100%
192,Over Her Dead Body,"$21,458,111","$7,563,670",35.2%,"$13,894,441",64.8%
193,K-20: The Fiend with Twenty Faces,"$21,443,265",-,-,"$21,443,265",100%
194,Three Kingdoms,"$21,159,916",-,-,"$21,159,916",100%
195,The Divine Weapon,"$19,991,573",-,-,"$19,991,573",100%
196,Jaane Tu,"$19,852,786","$604,037",3%,"$19,248,749",97%
197,Blindness,"$19,844,979","$3,351,751",16.9%,"$16,493,228",83.1%
198,Il cosmo sul comò,"$19,494,191",-,-,"$19,494,191",100%
199,Lyubov 2 Morkov,"$19,171,562",-,-,"$19,171,562",100%
200,How to Lose Friends & Alienate People,"$19,152,009","$2,778,752",14.5%,"$16,373,257",85.5%
