Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%
2,F9: The Fast Saga,"$714,400,845","$172,933,845",24.2%,"$541,467,000",75.8%
3,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
4,Godzilla vs. Kong,"$467,863,133","$100,563,133",21.5%,"$367,300,000",78.5%
5,Black Widow,"$377,689,901","$183,201,994",48.5%,"$194,487,907",51.5%
6,A Quiet Place Part II,"$297,372,261","$160,072,261",53.8%,"$137,300,000",46.2%
7,Free Guy,"$278,242,431","$103,376,030",37.2%,"$174,866,401",62.8%
8,Shang-Chi and the Legend of the Ten Rings,"$267,138,031","$155,193,555",58.1%,"$111,944,476",41.9%
9,Cruella,"$233,274,812","$86,103,234",36.9%,"$147,171,578",63.1%
10,Jungle Cruise,"$202,465,654","$110,494,336",54.6%,"$91,971,318",45.4%
11,The Conjuring: The Devil Made Me Do It,"$201,965,074","$65,565,074",32.5%,"$136,400,000",67.5%
12,Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%
13,Raging Fire,"$188,915,734","$325,806",0.2%,"$188,589,928",99.8%
14,Impasse,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%
15,The Suicide Squad,"$165,405,715","$55,405,715",33.5%,"$110,000,000",66.5%
16,Space Jam: A New Legacy,"$156,261,371","$70,261,371",45%,"$86,000,000",55%
17,Peter Rabbit 2: The Runaway,"$153,736,536","$40,336,536",26.2%,"$113,400,000",73.8%
18,A Writer's Odyssey,"$150,123,320","$160,013",0.1%,"$149,963,307",99.9%
19,Tom and Jerry,"$132,841,123","$46,041,123",34.7%,"$86,800,000",65.3%
20,Raya and the Last Dragon,"$130,281,158","$54,723,032",42%,"$75,558,126",58%
21,Sister,"$128,317,206",-,-,"$128,317,206",100%
22,My Love,"$114,016,434","$86,252",<0.1%,"$113,930,182",99.9%
23,The Boss Baby: Family Business,"$108,144,500","$57,121,500",52.8%,"$51,023,000",47.2%
24,Wrath of Man,"$103,966,489","$27,466,489",26.4%,"$76,500,000",73.6%
25,Detective Conan: The Scarlet Bullet,"$95,659,979",-,-,"$95,659,979",100%
26,PAW Patrol: The Movie,"$93,634,155","$35,393,497",37.8%,"$58,240,658",62.2%
27,Evangelion: 3.0+1.01 Thrice Upon a Time,"$92,246,218",-,-,"$92,246,218",100%
28,End Game,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
29,Old,"$88,659,590","$47,810,590",53.9%,"$40,849,000",46.1%
30,Mortal Kombat,"$83,601,013","$42,201,013",50.5%,"$41,400,000",49.5%
31,Boonie Bears: The Wild Life,"$77,861,141",-,-,"$77,861,141",100%
32,The Forever Purge,"$76,960,015","$44,505,015",57.8%,"$32,455,000",42.2%
33,1921,"$75,159,828",-,-,"$75,159,828",100%
34,Hitman's Wife's Bodyguard,"$70,331,463","$38,014,727",54.1%,"$32,316,736",45.9%
35,Candyman,"$63,192,490","$49,668,490",78.6%,"$13,524,000",21.4%
36,Avatar 2021 Re-release,"$57,566,409",-,-,"$57,566,409",100%
37,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
38,Nobody,"$55,405,035","$27,268,035",49.2%,"$28,137,000",50.8%
39,Upcoming,"$54,300,000",-,-,"$54,300,000",100%
40,Belle: The Dragon and the Freckled Princess,"$54,195,448",-,-,"$54,195,448",100%
41,Man in Love,"$52,946,097",-,-,"$52,946,097",100%
42,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
43,Luca,"$47,470,926",-,-,"$47,470,926",100%
44,Don't Breathe 2,"$45,273,128","$30,673,128",67.8%,"$14,600,000",32.2%
45,Love Will Tear Us Apart,"$44,972,521",-,-,"$44,972,521",100%
46,Escape Room: Tournament of Champions,"$44,888,958","$25,188,958",56.1%,"$19,700,000",43.9%
47,In the Heights,"$43,879,041","$29,879,041",68.1%,"$14,000,000",31.9%
48,Spirit Untamed,"$42,636,215","$17,635,215",41.4%,"$25,001,000",58.6%
49,Spiral,"$38,824,198","$23,216,862",59.8%,"$15,607,336",40.2%
50,Tokyo Revengers,"$38,395,933",-,-,"$38,395,933",100%
51,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
52,Rurouni Kenshin: Final Chapter Part I - The Final,"$36,964,978",-,-,"$36,964,978",100%
53,Snake Eyes,"$36,964,325","$28,264,325",76.5%,"$8,700,000",23.5%
54,Nomadland,"$36,440,330","$2,143,000",5.9%,"$34,297,330",94.1%
55,I Fell in Love Like a Flower Bouquet,"$34,975,905",-,-,"$34,975,905",100%
56,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
57,Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%
58,Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%
59,The Unholy,"$30,830,440","$15,530,440",50.4%,"$15,300,000",49.6%
60,The Little Things,"$29,844,012","$15,244,012",51.1%,"$14,600,000",48.9%
61,Master,"$28,692,230",-,-,"$28,692,230",100%
62,The Last Warrior: Root of Evil,"$28,357,398",-,-,"$28,357,398",100%
63,Escape from Mogadishu,"$27,935,527","$297,482",1.1%,"$27,638,045",98.9%
64,Respect,"$27,081,462","$23,472,462",86.7%,"$3,609,000",13.3%
65,Chaos Walking,"$26,456,630","$13,287,908",50.2%,"$13,168,722",49.8%
66,My Hero Academia: World Heroes' Mission,"$26,421,054",-,-,"$26,421,054",100%
67,The Courier,"$23,552,968","$6,613,432",28.1%,"$16,939,536",71.9%
68,Those Who Wish Me Dead,"$23,408,489","$7,347,103",31.4%,"$16,061,386",68.6%
69,The Marksman,"$22,988,549","$15,566,093",67.7%,"$7,422,456",32.3%
70,The Day We Lit Up the Sky,"$22,500,000",-,-,"$22,500,000",100%
71,Kaamelott: First Installment,"$21,662,036","$188,000",0.9%,"$21,474,036",99.1%
72,Rurouni Kenshin: Final Chapter Part II - The Beginning,"$21,318,560",-,-,"$21,318,560",100%
73,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
74,The Pioneer,"$18,900,000",-,-,"$18,900,000",100%
75,Mobile Suit Gundam: Hathaway,"$18,731,309",-,-,"$18,731,309",100%
76,Reminiscence,"$18,698,345","$3,881,334",20.8%,"$14,817,011",79.2%
