Rank,Release Group,Worldwide,Domestic,%,Foreign,%
77,Sinkhole,"$18,526,381",-,-,"$18,526,381",100%
78,The Green Knight,"$18,274,261","$17,173,321",94%,"$1,100,940",6%
79,Bo Gia,"$17,480,489","$350,000",2%,"$17,130,489",98%
80,Gintama: The Final,"$17,244,651",-,-,"$17,244,651",100%
81,The Dry,"$16,984,586","$364,237",2.1%,"$16,620,349",97.9%
82,Stillwater,"$16,545,675","$14,465,535",87.4%,"$2,080,140",12.6%
83,Malignant,"$16,423,527","$7,123,527",43.4%,"$9,300,000",56.6%
84,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
85,Minari,"$15,383,002","$3,110,580",20.2%,"$12,272,422",79.8%
86,Something About Love,"$15,204,017",-,-,"$15,204,017",100%
87,The Tomorrow War,"$14,400,000",-,-,"$14,400,000",100%
88,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,"$14,059,824",-,-,"$14,059,824",100%
89,After We Fell,"$13,898,525","$428,300",3.1%,"$13,470,225",96.9%
90,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
91,Monkey King Reborn,"$13,000,000",-,-,"$13,000,000",100%
92,OSS 117: From Africa with Love,"$12,970,030",-,-,"$12,970,030",100%
93,No Escapes,"$12,810,886",-,-,"$12,810,886",100%
94,Hostage: Missing Celebrity,"$12,591,782",-,-,"$12,591,782",100%
95,Character,"$12,571,501",-,-,"$12,571,501",100%
96,On Your Mark,"$12,100,000",-,-,"$12,100,000",100%
97,Stand by Me,"$11,900,000",-,-,"$11,900,000",100%
98,The Stronghold,"$11,849,700",-,-,"$11,849,700",100%
99,The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,-,"$11,325,545",100%
100,The Night House,"$10,867,155","$6,834,522",62.9%,"$4,032,633",37.1%
101,Krack,"$10,442,916",-,-,"$10,442,916",100%
102,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
103,Realm of Terracotta,"$10,341,512",-,-,"$10,341,512",100%
104,Detective Conan: The Scarlet Alibi,"$10,308,627",-,-,"$10,308,627",100%
105,Never Stop,"$10,224,935",-,-,"$10,224,935",100%
106,Kaiserschmarrndrama,"$9,986,463",-,-,"$9,986,463",100%
107,The Soul,"$9,600,000",-,-,"$9,600,000",100%
108,¡A todo tren! Destino Asturias,"$9,327,266",-,-,"$9,327,266",100%
109,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
110,Agent Backkom: Kings Bear,"$8,500,000",-,-,"$8,500,000",100%
111,Honey Lemon Soda,"$8,441,488",-,-,"$8,441,488",100%
112,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
113,White Snake 2: Green Snake,"$8,170,000",-,-,"$8,170,000",100%
114,New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%
115,The Protege,"$8,055,639","$7,366,315",91.4%,"$689,324",8.6%
116,Hard Hit,"$7,901,585",-,-,"$7,901,585",100%
117,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%
118,The Mauritanian,"$7,527,030","$836,536",11.1%,"$6,690,494",88.9%
119,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
120,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%
121,The Medium,"$7,334,263",-,-,"$7,334,263",100%
122,Dad,"$7,200,771",-,-,"$7,200,771",100%
123,Kaguya-sama: Love Is War,"$7,160,989",-,-,"$7,160,989",100%
124,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
125,Are You Lonesome Tonight?,"$6,900,000",-,-,"$6,900,000",100%
126,Extinct,"$6,866,977",-,-,"$6,866,977",100%
127,Judas and the Black Messiah,"$6,795,355","$5,446,607",80.2%,"$1,348,748",19.8%
128,Face Off: 48H,"$6,781,370",-,-,"$6,781,370",100%
129,Seobok,"$6,778,823",-,-,"$6,778,823",100%
130,Silver Skates,"$6,699,659",-,-,"$6,699,659",100%
131,Dream Horse,"$6,636,040","$2,913,328",43.9%,"$3,722,712",56.1%
132,Island Keeper,"$6,410,000",-,-,"$6,410,000",100%
133,August Never Ends,"$6,200,000",-,-,"$6,200,000",100%
134,The Hobbit: The Battle of the Five Armies 2020 Re-release,"$6,163,077",-,-,"$6,163,077",100%
135,Penguin Bloom,"$6,154,872",-,-,"$6,154,872",100%
136,The Forgotten Battle,"$5,937,512",-,-,"$5,937,512",100%
137,The Blood of Wolves,"$5,908,700",-,-,"$5,908,700",100%
138,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
139,Suicide Forest Village,"$5,649,792",-,-,"$5,649,792",100%
140,Secret Magic Control Agency,"$5,631,112",-,-,"$5,631,112",100%
141,Chernobyl: Abyss,"$5,538,706",-,-,"$5,538,706",100%
142,Octonauts: The Ring of Fire,"$5,512,875",-,-,"$5,512,875",100%
143,Hell's Garden,"$5,450,978",-,-,"$5,450,978",100%
144,Kiba: The Fangs of Fiction,"$5,283,305",-,-,"$5,283,305",100%
145,Roadrunner: A Film About Anthony Bourdain,"$5,249,970","$5,249,970",100%,-,-
146,Beautiful Lure: A Modern Tale of Painted Skin,"$5,239,977",-,-,"$5,239,977",100%
147,Poly,"$5,236,154",-,-,"$5,236,154",100%
148,Me contro te - Il mistero della scuola incantata,"$5,221,262",-,-,"$5,221,262",100%
149,The Ice Road,"$5,208,721",-,-,"$5,208,721",100%
150,A Morning of Farewell,"$5,075,369",-,-,"$5,075,369",100%
151,Forever Passion,"$5,060,000",-,-,"$5,060,000",100%
152,Ainbo,"$4,999,752",-,-,"$4,999,752",100%
153,Red,"$4,920,261",-,-,"$4,920,261",100%
154,Zola,"$4,913,306","$4,844,399",98.6%,"$68,907",1.4%
155,Rebels @ School,"$4,911,783",-,-,"$4,911,783",100%
156,Palma,"$4,756,297",-,-,"$4,756,297",100%
157,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
158,Wrong Turn,"$4,561,737","$1,251,184",27.4%,"$3,310,553",72.6%
159,Separation,"$4,509,143","$4,509,143",100%,-,-
160,Major Grom: Plague Doctor,"$4,493,306",-,-,"$4,493,306",100%
161,Prababushka lyogkogo povedeniya,"$4,424,649",-,-,"$4,424,649",100%
162,V2. Escape from Hell,"$4,392,744",-,-,"$4,392,744",100%
163,77 Heartwarmings,"$4,345,693",-,-,"$4,345,693",100%
164,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
165,Voyagers,"$4,298,184","$3,149,935",73.3%,"$1,148,249",26.7%
166,Family Swap,"$4,240,587",-,-,"$4,240,587",100%
167,Ostwind - Der große Orkan,"$4,217,300",-,-,"$4,217,300",100%
168,Girls und Panzer das Finale: Part III,"$4,216,657",-,-,"$4,216,657",100%
169,Boogie,"$4,191,023","$4,178,620",99.7%,"$12,403",0.3%
170,Kamen Rider Saber + Kikai Sentai Zenkaiger: Super Hero Senki,"$4,111,708",-,-,"$4,111,708",100%
171,The Lord of the Rings: The Two Towers 2021 Re-release,"$4,084,695",-,-,"$4,084,695",100%
172,Operación Camarón,"$3,934,591",-,-,"$3,934,591",100%
173,"Prvok, Sampon, Tecka a Karel","$3,921,999",-,-,"$3,921,999",100%
174,Master Ji Gong,"$3,860,000",-,-,"$3,860,000",100%
175,Karnan,"$3,817,585",-,-,"$3,817,585",100%
176,Operation Portugal,"$3,795,575","$1,096",<0.1%,"$3,794,479",100%
177,12 Mighty Orphans,"$3,674,946","$3,674,946",100%,-,-
178,Lie Detector,"$3,600,000",-,-,"$3,600,000",100%
179,The Lord of the Rings: The Return of the King 2021 Re-release,"$3,573,925",-,-,"$3,573,925",100%
180,Presidents,"$3,569,522",-,-,"$3,569,522",100%
181,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","$3,564,181","$2,320,649",65.1%,"$1,243,532",34.9%
182,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
183,Tomorrow Will Be Fine,"$3,520,000",-,-,"$3,520,000",100%
184,Catweazle,"$3,485,442",-,-,"$3,485,442",100%
185,The Sun Does Not Move,"$3,483,187",-,-,"$3,483,187",100%
186,Finding You,"$3,326,885","$2,753,985",82.8%,"$572,900",17.2%
187,Fate Grand Order: The Grand Temple of Time,"$3,308,000",-,-,"$3,308,000",100%
188,Pig,"$3,257,378","$3,186,668",97.8%,"$70,710",2.2%
189,Go Brother! 2,"$3,240,000",-,-,"$3,240,000",100%
190,Endless Rain,"$3,211,137","$7,334",0.2%,"$3,203,803",99.8%
191,I'll Meet You There,"$3,208,586",-,-,"$3,208,586",100%
192,Mesh Ana,"$3,204,032",-,-,"$3,204,032",100%
193,The Girl Who Believes in Miracles,"$3,163,362","$3,163,362",100%,-,-
194,Después de Ti,"$3,162,778",-,-,"$3,162,778",100%
195,Land,"$3,162,681","$2,577,830",81.5%,"$584,851",18.5%
196,An Egg Rescue,"$3,159,016","$811,327",25.7%,"$2,347,689",74.3%
197,French Tech,"$3,158,212",-,-,"$3,158,212",100%
198,Un tour chez ma fille,"$3,141,536",-,-,"$3,141,536",100%
199,Annette,"$3,136,893",-,-,"$3,136,893",100%
200,The Waiter,"$3,098,685",-,-,"$3,098,685",100%
