Rank,Release Group,Worldwide,Domestic,%,Foreign,%
57,Scoob!,"$25,750,000","$850,000",3.3%,"$24,900,000",96.7%
58,Interstellar 2020 Re-release,"$23,771,122",-,-,"$23,771,122",100%
59,The Father,"$22,577,412","$2,122,771",9.4%,"$20,454,641",90.6%
60,Gretel & Hansel,"$22,051,055","$15,347,654",69.6%,"$6,703,401",30.4%
61,Poupelle of Chimney Town,"$21,824,592",-,-,"$21,824,592",100%
62,Stigmatized Properties,"$21,276,720",-,-,"$21,276,720",100%
63,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
64,Yarn,"$20,444,185",-,-,"$20,444,185",100%
65,Violet Evergarden: The Movie,"$20,339,624",-,-,"$20,339,624",100%
66,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
67,Ice 2,"$19,788,995",-,-,"$19,788,995",100%
68,Soul Snatcher,"$19,561,221",-,-,"$19,561,221",100%
69,Pokémon the Movie: Secrets of the Jungle,"$19,452,056",-,-,"$19,452,056",100%
70,The Turning,"$19,428,853","$15,472,775",79.6%,"$3,956,078",20.4%
71,Fate/Stay Night: Heaven's Feel - III. Spring Song,"$19,252,497","$200,000",1%,"$19,052,497",99%
72,Takizawa Enbujo Zero,"$18,091,395",-,-,"$18,091,395",100%
73,The Promised Neverland,"$17,698,106",-,-,"$17,698,106",100%
74,Kaiji: Final Game,"$17,645,779",-,-,"$17,645,779",100%
75,Hitman: Agent Jun,"$17,601,351",-,-,"$17,601,351",100%
76,Promising Young Woman,"$17,121,281","$6,460,965",37.7%,"$10,660,316",62.3%
77,Digimon Adventure: Last Evolution Kizuna,"$17,068,434",-,-,"$17,068,434",100%
78,Bye Bye Morons,"$16,833,025",-,-,"$16,833,025",100%
79,Baaghi 3,"$16,726,510","$721,439",4.3%,"$16,005,071",95.7%
80,I Still Believe,"$16,060,123","$9,868,521",61.4%,"$6,191,602",38.6%
81,Freaky,"$15,920,855","$9,030,855",56.7%,"$6,890,000",43.3%
82,Padre no hay más que uno 2: La llegada de la suegra,"$15,373,181",-,-,"$15,373,181",100%
83,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
84,The Personal History of David Copperfield,"$14,399,270","$1,876,298",13%,"$12,522,972",87%
85,Nightlife,"$14,308,789",-,-,"$14,308,789",100%
86,Pawn,"$14,193,957",-,-,"$14,193,957",100%
87,#Alive,"$13,432,212",-,-,"$13,432,212",100%
88,Howling Village,"$13,394,556",-,-,"$13,394,556",100%
89,Come Play,"$13,175,457","$10,475,990",79.5%,"$2,699,467",20.5%
90,Samjin Company English Class,"$12,761,386",-,-,"$12,761,386",100%
91,News of the World,"$12,668,325","$12,668,325",100%,-,-
92,Collectors,"$12,640,113",-,-,"$12,640,113",100%
93,Ducobu 3,"$12,157,793",-,-,"$12,157,793",100%
94,Legend No. 17,"$11,811,335",-,-,"$11,811,335",100%
95,Wotakoi: Love Is Hard for Otaku,"$11,702,371",-,-,"$11,702,371",100%
96,Let Him Go,"$11,630,934","$9,358,025",80.5%,"$2,272,909",19.5%
97,The Hunt,"$11,473,631","$5,812,500",50.7%,"$5,661,131",49.3%
98,The Voice of Sin,"$10,983,063",-,-,"$10,983,063",100%
99,30 jours max,"$10,926,765",-,-,"$10,926,765",100%
100,Another Round,"$10,853,077",-,-,"$10,853,077",100%
101,Me contro Te - Il film: La vendetta del Signor S,"$10,779,891",-,-,"$10,779,891",100%
102,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
103,The Lion King 2020 Re-release,"$10,684,240",-,-,"$10,684,240",100%
104,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$10,628,463",-,-,"$10,628,463",100%
105,One Second,"$10,600,000",-,-,"$10,600,000",100%
106,Honest Candidate,"$10,597,464",-,-,"$10,597,464",100%
107,Street Dancer 3D,"$10,339,127",-,-,"$10,339,127",100%
108,My Spy,"$10,200,000",-,-,"$10,200,000",100%
109,The Asadas,"$10,066,797",-,-,"$10,066,797",100%
110,Stolen Identity 2,"$9,687,188",-,-,"$9,687,188",100%
111,Bigfoot Family,"$9,676,811",-,-,"$9,676,811",100%
112,10 Days with Dad,"$9,472,077","$2,359",<0.1%,"$9,469,718",100%
113,365 Days,"$9,458,590",-,-,"$9,458,590",100%
114,Secret Zoo,"$9,457,317",-,-,"$9,457,317",100%
115,Okay Madam,"$9,433,525",-,-,"$9,433,525",100%
116,L'appel de la forêt,"$9,317,347",-,-,"$9,317,347",100%
117,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
118,Malasaña 32,"$8,968,845",-,-,"$8,968,845",100%
119,Break the Silence: The Movie,"$8,954,345",-,-,"$8,954,345",100%
120,The Closet,"$8,948,595",-,-,"$8,948,595",100%
121,I Hate Summer,"$8,926,071",-,-,"$8,926,071",100%
122,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
123,Les blagues de Toto,"$8,859,185",-,-,"$8,859,185",100%
124,The Secret Garden,"$8,834,976",-,-,"$8,834,976",100%
125,Eltilerin Savasi,"$8,613,864",-,-,"$8,613,864",100%
126,Malang,"$8,399,765",-,-,"$8,399,765",100%
127,100% Wolf,"$8,365,717","$658,764",7.9%,"$7,706,953",92.1%
128,Your Eyes Tell,"$8,020,474",-,-,"$8,020,474",100%
129,AI Amok,"$7,932,191",-,-,"$7,932,191",100%
130,The Lost Prince,"$7,837,980",-,-,"$7,837,980",100%
131,Antoinette dans les Cévennes,"$7,810,485",-,-,"$7,810,485",100%
132,The Marriage Escape,"$7,760,946",-,-,"$7,760,946",100%
133,Spirited Away Studio Ghibli Fest 2020,"$7,732,435",-,-,"$7,732,435",100%
134,Neposredstvenno Kakha,"$7,692,780",-,-,"$7,692,780",100%
135,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,207",-,-,"$7,673,207",100%
136,The Heist of the Century,"$7,627,100",-,-,"$7,627,100",100%
137,Fukushima 50,"$7,494,243",-,-,"$7,494,243",100%
138,De Gaulle,"$7,468,494",-,-,"$7,468,494",100%
139,Bohemian Rhapsody 2020 Re-release,"$7,445,468","$240,000",3.2%,"$7,205,468",96.8%
140,"Turu, the Wacky Hen","$7,398,775",-,-,"$7,398,775",100%
141,Mamma Mia! Here We Go Again 2020 Re-release,"$7,209,143",-,-,"$7,209,143",100%
142,The (UN)perfect Guy,"$7,154,649",-,-,"$7,154,649",100%
143,Back to the Wharf,"$7,090,000",-,-,"$7,090,000",100%
144,Adu,"$7,085,946",-,-,"$7,085,946",100%
145,Antebellum,"$7,060,384",-,-,"$7,060,384",100%
146,The Best Years,"$7,048,643",-,-,"$7,048,643",100%
147,Spycies,"$7,029,831",-,-,"$7,029,831",100%
148,Fatale,"$7,017,104","$6,306,897",89.9%,"$710,207",10.1%
149,Jim Button and the Wild 13,"$6,880,898",-,-,"$6,880,898",100%
150,Psy 3: W imie zasad,"$6,725,146",-,-,"$6,725,146",100%
151,Blood Moon Party,"$6,709,383",-,-,"$6,709,383",100%
152,Innocence,"$6,659,968",-,-,"$6,659,968",100%
153,Dragon Rider,"$6,645,766",-,-,"$6,645,766",100%
154,Shubh Mangal Zyada Saavdhan,"$6,574,905",-,-,"$6,574,905",100%
155,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
156,"Love Me, Love Me Not","$6,494,241",-,-,"$6,494,241",100%
157,Hammamet,"$6,434,874",-,-,"$6,434,874",100%
158,Lindenberg! Mach dein Ding,"$6,404,964",-,-,"$6,404,964",100%
159,Midnight Swan,"$6,397,065",-,-,"$6,397,065",100%
160,Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525",-,-,"$6,395,525",100%
161,Simply Black,"$6,323,750",-,-,"$6,323,750",100%
162,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
163,Bill & Ted Face the Music,"$6,274,027","$3,439,660",54.8%,"$2,834,367",45.2%
164,Hotel Belgrade,"$6,199,413",-,-,"$6,199,413",100%
165,How to Be a Good Wife,"$6,038,325",-,-,"$6,038,325",100%
166,The Legacy Of Dr. Death: Black File,"$6,024,046",-,-,"$6,024,046",100%
167,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
168,Jak zostalem gangsterem. Historia prawdziwa,"$5,975,729",-,-,"$5,975,729",100%
169,Two by Two: Overboard!,"$5,972,323",-,-,"$5,972,323",100%
170,Twiceborn,"$5,880,157","$11,527",0.2%,"$5,868,630",99.8%
171,The Royal Bride,"$5,830,719",-,-,"$5,830,719",100%
172,Beasts Clawing at Straws,"$5,796,059",-,-,"$5,796,059",100%
173,Last Letter,"$5,663,972",-,-,"$5,663,972",100%
174,Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218",-,-,"$5,624,218",100%
175,Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",-,-,"$5,543,147",100%
176,Hocus Pocus 2020 Re-release,"$5,432,992","$4,828,000",88.9%,"$604,992",11.1%
177,Mama Weed,"$5,404,859","$29,151",0.5%,"$5,375,708",99.5%
178,Divorce Club,"$5,316,313",-,-,"$5,316,313",100%
179,Cindy La Regia,"$5,222,322",-,-,"$5,222,322",100%
180,Run,"$5,127,029",-,-,"$5,127,029",100%
181,Love Aaj Kal,"$5,120,794",-,-,"$5,120,794",100%
182,Masked Ward,"$5,106,794",-,-,"$5,106,794",100%
183,Ayyappanum Koshiyum,"$5,088,713",-,-,"$5,088,713",100%
184,Baba Parasi,"$5,084,342",-,-,"$5,084,342",100%
185,Die Känguru-Chroniken,"$5,081,127",-,-,"$5,081,127",100%
186,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
187,Mayday,"$5,011,408",-,-,"$5,011,408",100%
188,Bheeshma,"$4,997,080",-,-,"$4,997,080",100%
189,Made in Abyss: Dawn of the Deep Soul,"$4,971,635",-,-,"$4,971,635",100%
190,Godai - The Wunderkind,"$4,948,225",-,-,"$4,948,225",100%
191,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
192,Military Wives,"$4,885,613",-,-,"$4,885,613",100%
193,The Tales for Old and Young,"$4,853,143",-,-,"$4,853,143",100%
194,Streltsov,"$4,850,073",-,-,"$4,850,073",100%
195,The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",100%,-,-
196,The Empty Man,"$4,796,993","$2,992,948",62.4%,"$1,804,045",37.6%
197,The Vets,"$4,788,826",-,-,"$4,788,826",100%
198,The Broken Hearts Gallery,"$4,781,389","$4,067,442",85.1%,"$713,947",14.9%
199,Gladiator 20th Anniversary,"$4,780,585",-,-,"$4,780,585",100%
200,Intruder,"$4,751,103",-,-,"$4,751,103",100%
