Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,"$461,421,559","$372,755",<0.1%,"$461,048,804",99.9%
2,Demon Slayer: Mugen Train,"$452,974,619","$47,700,000",10.5%,"$405,274,619",89.5%
3,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%
4,"My People, My Homeland","$422,390,820",-,-,"$422,390,820",100%
5,Tenet,"$363,656,624","$58,456,624",16.1%,"$305,200,000",83.9%
6,Sonic the Hedgehog,"$319,715,683","$148,974,665",46.6%,"$170,741,018",53.4%
7,Dolittle,"$245,461,797","$77,047,065",31.4%,"$168,414,732",68.6%
8,Legend of Deification,"$240,663,149","$214,670",<0.1%,"$240,448,479",99.9%
9,A Little Red Flower,"$216,000,000",-,-,"$216,000,000",100%
10,The Croods: A New Age,"$215,905,815","$58,568,815",27.1%,"$157,337,000",72.9%
11,Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
12,Shock Wave 2,"$198,921,659",-,-,"$198,921,659",100%
13,Wonder Woman 1984,"$166,534,027","$46,534,027",27.9%,"$120,000,000",72.1%
14,The Sacrifice,"$161,047,608",-,-,"$161,047,608",100%
15,The Invisible Man,"$143,151,000","$70,410,000",49.2%,"$72,741,000",50.8%
16,Onward,"$141,934,191","$61,555,145",43.4%,"$80,379,046",56.6%
17,Warm Hug,"$129,240,236",-,-,"$129,240,236",100%
18,Soul,"$120,957,731",-,-,"$120,957,731",100%
19,The Call of the Wild,"$111,105,497","$62,342,368",56.1%,"$48,763,129",43.9%
20,Caught in Time,"$80,543,319",-,-,"$80,543,319",100%
21,The Yin-Yang Master: Dream of Eternity,"$68,000,000",-,-,"$68,000,000",100%
22,Mulan,"$66,800,000",-,-,"$66,800,000",100%
23,Stand by Me Doraemon 2,"$65,066,630",-,-,"$65,066,630",100%
24,The Rescue,"$64,042,765","$18,797",<0.1%,"$64,023,968",100%
25,Love You Forever,"$60,670,799",-,-,"$60,670,799",100%
26,Greenland,"$52,300,000",-,-,"$52,300,000",100%
27,Tolo Tolo,"$52,186,426",-,-,"$52,186,426",100%
28,Vanguard,"$50,814,965","$793,525",1.6%,"$50,021,440",98.4%
29,The New Mutants,"$49,169,594","$23,852,659",48.5%,"$25,316,935",51.5%
30,Fantasy Island,"$48,811,343","$27,309,289",55.9%,"$21,502,054",44.1%
31,After We Collided,"$47,990,414","$2,386,483",5%,"$45,603,931",95%
32,"From Today, It's My Turn: The Movie","$47,866,854",-,-,"$47,866,854",100%
33,Trolls World Tour,"$47,217,101",-,-,"$47,217,101",100%
34,Tanhaji: The Unsung Warrior,"$45,221,814",-,-,"$45,221,814",100%
35,Unhinged,"$44,331,465","$20,831,465",47%,"$23,500,000",53%
36,The End of Endless Love,"$43,950,000",-,-,"$43,950,000",100%
37,Train to Busan Presents: Peninsula,"$42,698,327","$1,231,407",2.9%,"$41,466,920",97.1%
38,Monster Hunter,"$42,145,959","$15,162,470",36%,"$26,983,489",64%
39,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
40,The War with Grandpa,"$40,743,350","$21,277,892",52.2%,"$19,465,458",47.8%
41,Sarileru Neekevvaru,"$37,389,889","$821,000",2.2%,"$36,568,889",97.8%
42,New Interpretation Records of the Three Kingdoms,"$36,747,486",-,-,"$36,747,486",100%
43,The Confidence Man JP: Princess,"$36,109,913",-,-,"$36,109,913",100%
44,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
45,My Mom is a Character 3,"$34,360,029",-,-,"$34,360,029",100%
46,Doraemon the Movie: Nobita's New Dinosaur,"$33,942,341",-,-,"$33,942,341",100%
47,Deliver Us from Evil,"$33,718,703",-,-,"$33,718,703",100%
48,Bloodshot,"$33,542,457","$12,561,824",37.5%,"$20,980,633",62.5%
49,Harry Potter and the Sorcerer's Stone 2020 Re-release,"$31,501,815",-,-,"$31,501,815",100%
50,Honest Thief,"$31,354,158","$14,163,574",45.2%,"$17,190,584",54.8%
51,Like a Boss,"$30,399,490","$22,169,514",72.9%,"$8,229,976",27.1%
52,Bath Buddy,"$28,700,000",-,-,"$28,700,000",100%
53,Ala Vaikunthapurramuloo,"$28,477,890",-,-,"$28,477,890",100%
54,The Witches,"$26,900,000",-,-,"$26,900,000",100%
55,Emma.,"$26,400,964","$10,055,355",38.1%,"$16,345,609",61.9%
56,Leap,"$25,818,882","$83,074",0.3%,"$25,735,808",99.7%
