url,product_id,title,price,scraped,rating,timestamp
https://www.amazon.in/NiTHO-DRIVE-RACING-compatible-Switch/dp/B08LFLHXG9/ref=zg_bs_videogames_44/261-4460124-2798536?_encoding=UTF8&psc=1&refRID=K4VG4XW94BFZK8FYFZF8,B08LFLHXG9,"NiTHO DRIVE PRO RACING WHEEL & PEDAL SET, compatible with PC/PS3/PS4/XBOX1/Switch","₹4,459.00",1,63 ratings,2021-09-25 19:06:18.402111
https://www.amazon.in/AmazonBasics-Gaming-Mouse-Pad-Black/dp/B06X3W3YQD/ref=zg_bs_videogames_15/261-4460124-2798536?_encoding=UTF8&psc=1&refRID=K4VG4XW94BFZK8FYFZF8,B06X3W3YQD,"AmazonBasics Gaming Mouse Pad,Black",₹449.00,1,"32,452 ratings",2021-09-25 19:06:23.882907
https://www.amazon.in/Rs-3000-Sony-PlayStation-Network-Delivery/dp/B07K6PVR8B/ref=zg_bs_videogames_3/261-4460124-2798536?_encoding=UTF8&psc=1&refRID=K4VG4XW94BFZK8FYFZF8,B07K6PVR8B,Rs.3000 Sony PlayStation Network Wallet Top-Up (Email Delivery in 1 hour- Digital Voucher Code),"₹3,000.00",1,632 ratings,2021-09-25 19:06:28.882623
https://www.amazon.in/WAR-HAMMER-GX1050-Gaming-Mousepad/dp/B07XTPKPTH/ref=zg_bs_videogames_42/261-4460124-2798536?_encoding=UTF8&psc=1&refRID=K4VG4XW94BFZK8FYFZF8,B07XTPKPTH,"WAR HAMMER GX1050 Speed Type Gaming Mousepad (XL, Black/Red)",₹575.00,1,"1,480 ratings",2021-09-25 19:06:34.557103
https://www.amazon.in/Thumb-Grips-4-Pack-PS4/dp/B08DPDTP5P/ref=zg_bs_videogames_50/261-4460124-2798536?_encoding=UTF8&psc=1&refRID=K4VG4XW94BFZK8FYFZF8,B08DPDTP5P,Thumb Grips 4 Pack for PS4,,1,247 ratings,2021-09-25 19:06:40.797082
https://www.amazon.in/Cosmic-Byte-H1-Headphone-Laptops/dp/B07GB9SMS6/ref=zg_bs_videogames_36/261-4460124-2798536?_encoding=UTF8&psc=1&refRID=K4VG4XW94BFZK8FYFZF8,B07GB9SMS6,"Cosmic Byte H1 Gaming Headphone with Mic for PS5, PC, Laptops, Mobile, PS4, Xbox One (Red)",₹849.00,1,"3,018 ratings",2021-09-25 19:06:46.072068
https://www.amazon.in/Sony-Uncharted-Collection-Hits-PS4/dp/B07M5V17R9/ref=zg_bs_videogames_41/261-4460124-2798536?_encoding=UTF8&psc=1&refRID=K4VG4XW94BFZK8FYFZF8,B07M5V17R9,Uncharted Collection Hits (PS4),₹999.00,1,"1,159 ratings",2021-09-25 19:06:52.890599
https://www.amazon.in/Horizon-Zero-Dawn-Complete-PS4/dp/B07D2NY7RW/ref=zg_bs_videogames_43/261-4460124-2798536?_encoding=UTF8&psc=1&refRID=K4VG4XW94BFZK8FYFZF8,B07D2NY7RW,Sony Horizon: Zero Dawn - Complete Edition (Playstation 4),₹649.00,1,"1,283 ratings",2021-09-25 19:06:58.422505
https://www.amazon.in/UBI-Soft-Assassins-Creed-Odyssey/dp/B07DS1FFHK/ref=zg_bs_videogames_39/261-4460124-2798536?_encoding=UTF8&psc=1&refRID=K4VG4XW94BFZK8FYFZF8,B07DS1FFHK,Assassins Creed: Odyssey (PS4),"₹1,419.00",1,760 ratings,2021-09-25 19:07:03.142186
https://www.amazon.in/AmazonBasics-XXL-Gaming-Mouse-Black/dp/B06VVXMJ1S/ref=zg_bs_videogames_21/261-4460124-2798536?_encoding=UTF8&psc=1&refRID=K4VG4XW94BFZK8FYFZF8&smid=AT95IG9ONZD7S,B06VVXMJ1S,"AmazonBasics XXL Gaming Mouse Pad,Black",,1,"32,452 ratings",2021-09-25 19:07:08.602900
