Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
59,Ice Age: Dawn of the Dinosaurs,886686817,196573705,690113112,2009.csv,2009,0.22169462907442775,0.7783053709255723
60,The Lord of the Rings: The Fellowship of the Ring,880839846,313364114,567475732,2001.csv,2001,0.35575606101724877,0.6442439389827512
61,Spectre,880674609,200074609,680600000,2015.csv,2015,0.22718335121207064,0.7728166487879293
62,Spider-Man: Homecoming,880166924,334201140,545965784,2017.csv,2017,0.37970199843592395,0.620298001564076
63,Harry Potter and the Chamber of Secrets,878979634,261988482,616991152,2002.csv,2002,0.2980597864455185,0.7019402135544816
64,Ice Age: Continental Drift,877244782,161321843,715922939,2012.csv,2012,0.18389604168657225,0.8161039583134277
65,The Secret Life of Pets,875457937,368384330,507073607,2016.csv,2016,0.42079043941548044,0.5792095605845196
66,Batman v Superman: Dawn of Justice,873634919,330360194,543274725,2016.csv,2016,0.3781444477724682,0.6218555522275317
67,Finding Nemo,871014978,339714978,531300000,2003.csv,2003,0.3900219704373442,0.6099780295626558
68,Wolf Warrior 2,870325439,2721100,867604339,2017.csv,2017,0.003126531614572282,0.9968734683854277
69,Star Wars: Episode III - Revenge of the Sith,868352530,380270577,488081953,2005.csv,2005,0.437921885250913,0.562078114749087
70,The Hunger Games: Catching Fire,865011746,424668047,440343699,2013.csv,2013,0.490939052520103,0.5090609474798969
71,Guardians of the Galaxy Vol. 2,863756051,389813101,473942950,2017.csv,2017,0.4512999944240043,0.5487000055759956
72,Inside Out,857611174,356461711,501149463,2015.csv,2015,0.4156449004009829,0.5843550995990171
73,Venom,856085151,213515506,642569645,2018.csv,2018,0.24940919224050412,0.7505908077594958
74,Thor: Ragnarok,853977126,315058289,538918837,2017.csv,2017,0.36893059475225337,0.6310694052477467
75,Transformers: Revenge of the Fallen,836303693,402111870,434191823,2009.csv,2009,0.4808203925986968,0.5191796074013032
76,The Twilight Saga: Breaking Dawn - Part 2,829746820,292324737,537422083,2012.csv,2012,0.35230594436023266,0.6476940556397673
77,Inception,826137188,292576195,533560993,2010.csv,2010,0.3541496488111125,0.6458503511888876
78,"Hi, Mom",822009764,0,822009764,2021.csv,2021,0.0,1.0
79,Wonder Woman,821847012,412563408,409283604,2017.csv,2017,0.501995385973369,0.49800461402663104
80,Spider-Man,821708551,403706375,418002176,2002.csv,2002,0.4913011730359856,0.5086988269640144
81,Fantastic Beasts and Where to Find Them,814037575,234037575,580000000,2016.csv,2016,0.287502177034027,0.7124978229659731
82,Shrek the Third,813367380,322719944,490647436,2007.csv,2007,0.3967702073323865,0.6032297926676135
83,Coco,807816196,210460015,597356181,2017.csv,2017,0.2605295809147159,0.7394704190852841
84,Jumanji: The Next Level,800059707,320314960,479744747,2019.csv,2019,0.4003638193467978,0.5996361806532021
85,Harry Potter and the Prisoner of Azkaban,795634069,249541069,546093000,2004.csv,2004,0.31363798852107727,0.6863620114789227
86,Pirates of the Caribbean: Dead Men Tell No Tales,794861794,172558876,622302918,2017.csv,2017,0.21709293024593404,0.782907069754066
87,Mission: Impossible - Fallout,791115104,220159104,570956000,2018.csv,2018,0.27828959766643513,0.7217104023335649
88,Indiana Jones and the Kingdom of the Crystal Skull,790653942,317101119,473552823,2008.csv,2008,0.40106183268735285,0.5989381673126472
89,Fast & Furious 6,788679850,238679850,550000000,2013.csv,2013,0.30263211365169274,0.6973678863483073
90,Spider-Man 2,788618317,373585825,415032492,2004.csv,2004,0.4737219729072055,0.5262780270927945
91,Deadpool,782612155,363070709,419541446,2016.csv,2016,0.463921633059737,0.536078366940263
92,Guardians of the Galaxy,772776600,333176600,439600000,2014.csv,2014,0.4311421955581988,0.5688578044418011
93,2012,769679473,166112167,603567306,2009.csv,2009,0.21581992612137652,0.7841800738786235
94,The Da Vinci Code,760006945,217536138,542470807,2006.csv,2006,0.28622914491919543,0.7137708550808045
95,Fast & Furious Presents: Hobbs & Shaw,759056935,173956935,585100000,2019.csv,2019,0.22917508157671992,0.77082491842328
96,Maleficent,758410378,241410378,517000000,2014.csv,2014,0.31831101604466705,0.681688983955333
97,The Amazing Spider-Man,757930663,262030663,495900000,2012.csv,2012,0.34571851462354675,0.6542814853764533
98,The Hunger Games: Mockingjay - Part 1,755356711,337135885,418220826,2014.csv,2014,0.44632672231596815,0.5536732776840319
99,Shrek Forever After,752600867,238736787,513864080,2010.csv,2010,0.31721566831519477,0.6827843316848052
100,Madagascar 3: Europe's Most Wanted,746921274,216391482,530529792,2012.csv,2012,0.2897112313338661,0.7102887686661339
101,Suicide Squad,746846894,325100054,421746840,2016.csv,2016,0.43529678788488074,0.5647032121151193
102,X-Men: Days of Future Past,746045700,233921534,512124166,2014.csv,2014,0.3135485319465014,0.6864514680534985
103,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,291710957,453302158,2005.csv,2005,0.39155143866158654,0.6084485613384135
104,Monsters University,743559607,268492764,475066843,2013.csv,2013,0.3610911102114238,0.6389088897885762
105,The Matrix Reloaded,739412035,281576461,457835574,2003.csv,2003,0.3808113036731949,0.6191886963268052
106,Up,735099082,293004164,442094918,2009.csv,2009,0.3985913888000203,0.6014086111999797
107,Deadpool 2,734546611,318491426,416055185,2018.csv,2018,0.43358912998919275,0.5664108700108073
108,Ne Zha,726063471,3695533,722367938,2019.csv,2019,0.005089820859476899,0.9949101791405232
109,Gravity,723192705,274092705,449100000,2013.csv,2013,0.37900369169238235,0.6209963083076177
110,Captain America: The Winter Soldier,714421503,259766572,454654931,2014.csv,2014,0.3636040781376089,0.6363959218623911
111,F9: The Fast Saga,714400845,172933845,541467000,2021.csv,2021,0.24206836569461224,0.7579316343053878
112,The Twilight Saga: Breaking Dawn - Part 1,712205856,281287133,430918723,2011.csv,2011,0.394952008089077,0.6050479919109231
113,Dawn of the Planet of the Apes,710644566,208545589,502098977,2014.csv,2014,0.29345976734028806,0.7065402326597119
114,The Twilight Saga: New Moon,709827462,296623634,413203828,2009.csv,2009,0.4178813160655089,0.5821186839344911
115,Transformers,709709780,319246193,390463587,2007.csv,2007,0.44982639664342794,0.5501736033565721
116,The Amazing Spider-Man 2,708982323,202853933,506128390,2014.csv,2014,0.28611987410580336,0.7138801258941967
117,It,700381748,327481748,372900000,2017.csv,2017,0.4675760739555994,0.5324239260444006
118,The Wandering Earth,699856699,5971413,693885286,2019.csv,2019,0.008532336703402763,0.9914676632965972
119,The Twilight Saga: Eclipse,698491347,300531751,397959596,2010.csv,2010,0.4302583736946422,0.5697416263053579
120,Mission: Impossible - Ghost Protocol,694713380,209397903,485315477,2011.csv,2011,0.3014162516921727,0.6985837483078273
121,The Hunger Games,694394724,408010692,286384032,2012.csv,2012,0.5875774655223331,0.4124225344776669
122,Detective Chinatown 3,686257563,0,686257563,2021.csv,2021,0.0,1.0
123,Mission: Impossible - Rogue Nation,682714267,195042377,487671890,2015.csv,2015,0.2856866868434727,0.7143133131565274
124,Interstellar,677896797,188020017,489876780,2014.csv,2014,0.2773578778245798,0.7226421221754201
125,Doctor Strange,677718395,232641920,445076475,2016.csv,2016,0.3432722524817996,0.6567277475182004
126,Man of Steel,668045518,291045518,377000000,2013.csv,2013,0.4356671965577052,0.5643328034422948
127,Kung Fu Panda 2,665692281,165249063,500443218,2011.csv,2011,0.24823641150196843,0.7517635884980316
128,Ice Age: The Meltdown,660998756,195330621,465668135,2006.csv,2006,0.29550830349822926,0.7044916965017707
129,The Hunger Games: Mockingjay - Part 2,658344137,281723902,376620235,2015.csv,2015,0.4279280184430351,0.5720719815569649
130,Justice League,657924295,229024295,428900000,2017.csv,2017,0.3481012887660578,0.6518987112339422
131,Big Hero 6,657827828,222527828,435300000,2014.csv,2014,0.33827670178769026,0.6617232982123098
132,Fantastic Beasts: The Crimes of Grindelwald,654855901,159555901,495300000,2018.csv,2018,0.24365039813545178,0.7563496018645482
133,Pirates of the Caribbean: The Curse of the Black Pearl,654264015,305413918,348850097,2003.csv,2003,0.4668053125312111,0.5331946874687888
