Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
1136,The Forgotten,117592831,67133509,50459322,2004.csv,2004,0.5708979742140914,0.42910202578590867
1137,A Knight's Tale,117487473,56569702,60917771,2001.csv,2001,0.4814956059187689,0.5185043940812311
1138,Hotel for Dogs,117252578,73034460,44218118,2009.csv,2009,0.6228814858126189,0.377118514187381
1139,Paycheck,117248958,53790451,63458507,2003.csv,2003,0.4587712498050516,0.5412287501949484
1140,Water for Elephants,117094902,58709717,58385185,2011.csv,2011,0.5013857648559286,0.49861423514407144
1141,Warm Bodies,116980662,66380662,50600000,2013.csv,2013,0.5674498747493838,0.4325501252506162
1142,Barnyard,116755080,72637803,44117277,2006.csv,2006,0.6221382658467624,0.3778617341532377
1143,Finding Neverland,116650613,51680613,64970000,2004.csv,2004,0.4430376461030685,0.5569623538969315
1144,Freddy vs. Jason,116632628,82622655,34009973,2003.csv,2003,0.7084008687517527,0.29159913124824727
1145,Abraham Lincoln: Vampire Hunter,116471580,37519139,78952441,2012.csv,2012,0.32213127872052566,0.6778687212794744
1146,The Ugly Truth Slovenian Re-release,116383693,0,116383693,2009.csv,2009,0.0,1.0
1147,Personal Tailor,116126458,375892,115750566,2013.csv,2013,0.0032369195312923434,0.9967630804687077
1148,Body of Lies,115900897,39394666,76506231,2008.csv,2008,0.33989957817151323,0.6601004218284868
1149,The Chronicles of Riddick,115900534,57761012,58139522,2004.csv,2004,0.49836709121633554,0.5016329087836644
1150,The Iron Lady,115890699,30017992,85872707,2011.csv,2011,0.25901985456140875,0.7409801454385913
1151,Dragon Ball Super: Broly,115757940,30712119,85045821,2018.csv,2018,0.26531328218176653,0.7346867178182335
1152,A Nightmare on Elm Street,115694863,63075011,52619852,2010.csv,2010,0.5451841971583474,0.4548158028416525
1153,Detective Conan: The Fist of Blue Sapphire,115570314,0,115570314,2019.csv,2019,0.0,1.0
1154,Closer,115505027,33987757,81517270,2004.csv,2004,0.2942534873395597,0.7057465126604403
1155,Bride Wars,115375850,58715510,56660340,2009.csv,2009,0.5089064132571938,0.49109358674280623
1156,Pitch Perfect,115350426,65001093,50349333,2012.csv,2012,0.5635097784554346,0.4364902215445654
1157,The Gentlemen,115171795,36471795,78700000,2019.csv,2019,0.31667297535824634,0.6833270246417537
1158,The Monkey King 3,115084576,187074,114897502,2018.csv,2018,0.0016255349457081026,0.998374465054292
1159,Snow Dogs,115035090,81172560,33862530,2002.csv,2002,0.7056330377104933,0.2943669622895066
1160,Dear John,114984666,80014842,34969824,2010.csv,2010,0.6958740220195969,0.3041259779804031
1161,So Young,114926694,11186,114915508,2013.csv,2013,9.733160861653256e-05,0.9999026683913834
1162,The Lake House,114830111,52330111,62500000,2006.csv,2006,0.455717673215521,0.5442823267844791
1163,Book of Love,114679097,0,114679097,2016.csv,2016,0.0,1.0
1164,We Were Soldiers,114660784,78122718,36538066,2002.csv,2002,0.6813377274657393,0.3186622725342607
1165,Office Christmas Party,114501299,54767494,59733805,2016.csv,2016,0.47831329843690246,0.5216867015630976
1166,Hope Springs,114281051,63536011,50745040,2012.csv,2012,0.5559627816163504,0.4440372183836496
1167,The Score,114252154,71107711,43144443,2001.csv,2001,0.6223752332931947,0.3776247667068054
1168,Step Up,114194847,65328121,48866726,2006.csv,2006,0.5720759098700837,0.4279240901299163
1169,Seventh Son,114178613,17223265,96955348,2014.csv,2014,0.15084493100297164,0.8491550689970284
1170,My Love,114016434,86252,113930182,2021.csv,2021,0.0007564874375916721,0.9992435125624083
1171,Coyote Ugly,113916474,60786269,53130205,2000.csv,2000,0.5336038490798092,0.4663961509201909
1172,Saw V,113864059,56746769,57117290,2008.csv,2008,0.49837296771582684,0.5016270322841732
1173,Insomnia,113714830,67355513,46359317,2002.csv,2002,0.5923195154053346,0.40768048459466544
1174,Changeling,113398237,35739802,77658435,2008.csv,2008,0.31517070234522254,0.6848292976547775
1175,Rambo,113244290,42754105,70490185,2008.csv,2008,0.37753872623511525,0.6224612737648847
1176,The Dark Tower,113231078,50701325,62529753,2017.csv,2017,0.44776863291895885,0.5522313670810411
1177,Pet Sematary,113118226,54724696,58393530,2019.csv,2019,0.4837831880425706,0.5162168119574294
1178,White Chicks,113086475,70831760,42254715,2004.csv,2004,0.6263504101617811,0.37364958983821894
1179,Insidious: Chapter 3,112983889,52218558,60765331,2015.csv,2015,0.46217702773534375,0.5378229722646563
1180,Final Destination,112880294,53331147,59549147,2000.csv,2000,0.47245754870199047,0.5275424512980096
1181,Cats & Dogs: The Revenge of Kitty Galore,112483764,43585753,68898011,2010.csv,2010,0.3874848373672844,0.6125151626327155
1182,Tooth Fairy,112462508,60022256,52440252,2010.csv,2010,0.5337090295016362,0.46629097049836377
1183,Boonie Bears: Blast Into the Past,112367881,0,112367881,2019.csv,2019,0.0,1.0
1184,How to Be Single,112343513,46843513,65500000,2016.csv,2016,0.4169667811616324,0.5830332188383677
1185,The Exorcist 2000 Director's Cut,112053066,39671011,72382055,2000.csv,2000,0.3540377110252387,0.6459622889747613
1186,The Purge: Anarchy,111928365,71962800,39965565,2014.csv,2014,0.6429362208587609,0.35706377914123916
1187,"Dad, Where Are We Going?",111870000,0,111870000,2014.csv,2014,0.0,1.0
1188,Get Hard,111711453,90411453,21300000,2015.csv,2015,0.809330203591569,0.19066979640843093
1189,Underworld: Evolution,111476513,62318875,49157638,2006.csv,2006,0.5590314347202446,0.44096856527975536
1190,Fool's Gold,111231041,70231041,41000000,2008.csv,2008,0.6313978577257044,0.36860214227429555
1191,The Call of the Wild,111105497,62342368,48763129,2020.csv,2020,0.5611096631879519,0.4388903368120481
1192,The Dukes of Hazzard,111069515,80270227,30799288,2005.csv,2005,0.7227025975579348,0.27729740244206524
1193,Good Boys,111037232,83140306,27896926,2019.csv,2019,0.748760613917321,0.251239386082679
1194,Mission to Mars,110983407,60883407,50100000,2000.csv,2000,0.5485811676334643,0.4514188323665357
1195,The Santa Clause 3: The Escape Clause,110768122,84500122,26268000,2006.csv,2006,0.7628559595873622,0.23714404041263784
1196,Free Birds,110387072,55750480,54636592,2013.csv,2013,0.5050453734292364,0.49495462657076367
1197,The Kid,110317580,69691949,40625631,2000.csv,2000,0.6317392839835682,0.36826071601643184
1198,10 Cloverfield Lane,110216998,72082998,38134000,2016.csv,2016,0.6540098107190326,0.34599018928096736
1199,Moneyball,110206216,75605492,34600724,2011.csv,2011,0.6860365480654921,0.3139634519345079
1200,Buddies in India,110155128,293194,109861934,2017.csv,2017,0.002661646401064506,0.9973383535989355
1201,Hoodwinked,110013167,51386611,58626556,2005.csv,2005,0.46709509780770153,0.5329049021922985
1202,The 5th Wave,109906372,34916787,74989585,2015.csv,2015,0.3176957474312772,0.6823042525687227
1203,Peter Pan 2: Return to Never Land,109862682,48430258,61432424,2002.csv,2002,0.4408253750805028,0.5591746249194972
1204,Sideways,109706931,71503593,38203338,2004.csv,2004,0.6517691484779572,0.34823085152204286
1205,The Prestige,109676311,53089891,56586420,2006.csv,2006,0.4840597802382321,0.5159402197617678
1206,Treasure Planet,109578115,38176783,71401332,2002.csv,2002,0.3483978803614207,0.6516021196385793
1207,Along With the Gods: The Two Worlds,109383972,1908823,107475149,2017.csv,2017,0.017450664526974757,0.9825493354730253
1208,Billy Elliot,109280263,21995263,87285000,2000.csv,2000,0.20127388419627065,0.7987261158037293
1209,Transporter 3,108979549,31715062,77264487,2008.csv,2008,0.2910184735669993,0.7089815264330007
1210,Earth,108975160,32011576,76963584,2007.csv,2007,0.293751126403485,0.706248873596515
1211,The Reader,108902486,34194407,74708079,2008.csv,2008,0.3139910598551442,0.6860089401448558
1212,The Hours,108846072,41675994,67170078,2002.csv,2002,0.382889278723811,0.617110721276189
1213,Sanctum,108609310,23209310,85400000,2010.csv,2010,0.2136954005140075,0.7863045994859925
1214,Cinderella Man,108539911,61649911,46890000,2005.csv,2005,0.5679930122662437,0.4320069877337563
1215,Confessions of a Shopaholic,108394089,44277350,64116739,2009.csv,2009,0.40848491286273,0.59151508713727
1216,The Boxtrolls,108255770,50837305,57418465,2014.csv,2014,0.4696036525351027,0.5303963474648973
1217,The Boss Baby: Family Business,108144500,57121500,51023000,2021.csv,2021,0.5281960709976005,0.4718039290023996
1218,Hidalgo,108040622,67303450,40737172,2004.csv,2004,0.6229457842254925,0.3770542157745075
1219,Asterix & Obelix: Mission Cleopatra,108012365,0,108012365,2002.csv,2002,0.0,1.0
1220,Neighbors 2: Sorority Rising,108007109,55455765,52551344,2016.csv,2016,0.5134455084803723,0.48655449151962765
1221,Arthur and the Invisibles,107944236,15132763,92811473,2006.csv,2006,0.14019056098558147,0.8598094390144185
1222,Horrible Bosses 2,107645357,54445357,53200000,2014.csv,2014,0.5057845365313806,0.49421546346861944
1223,Paul Blart: Mall Cop 2,107588225,71038190,36550035,2015.csv,2015,0.6602784830774929,0.33972151692250707
1224,The Amityville Horror,107516369,65233369,42283000,2005.csv,2005,0.6067296506265013,0.39327034937349864
1225,Vacation,107228221,58884188,48344033,2015.csv,2015,0.5491482321617552,0.45085176783824477
1226,Shaft,107196498,70334258,36862240,2000.csv,2000,0.656124587204332,0.343875412795668
1227,ParaNorman,107139399,56003051,51136348,2012.csv,2012,0.5227120137196215,0.4772879862803785
1228,The Texas Chainsaw Massacre,107071655,80571655,26500000,2003.csv,2003,0.7525021911728179,0.24749780882718214
1229,Harmony,107056263,0,107056263,2010.csv,2010,0.0,1.0
1230,The Man from U.N.C.L.E.,107045109,45445109,61600000,2015.csv,2015,0.42454166682197503,0.575458333178025
1231,The Breakup Guru,106980263,208959,106771304,2014.csv,2014,0.00195324814260365,0.9980467518573963
1232,Hereafter,106956330,32746941,74209389,2010.csv,2010,0.30617113545313307,0.693828864546867
1233,Made of Honor,106407672,46012734,60394938,2008.csv,2008,0.43241932780937076,0.5675806721906292
1234,Race to Witch Mountain,106387141,67172594,39214547,2009.csv,2009,0.6313976799132143,0.3686023200867857
1235,Chronicles of the Ghostly Tribe,106380000,0,106380000,2015.csv,2015,0.0,1.0
1236,The Whole Nine Yards,106371651,57262492,49109159,2000.csv,2000,0.5383247459419428,0.46167525405805726
1237,Shaun the Sheep Movie,106209378,19375982,86833396,2015.csv,2015,0.18243193176406702,0.817568068235933
1238,About Schmidt,105834556,65016287,40818269,2002.csv,2002,0.6143200241705554,0.3856799758294446
1239,Forgetting Sarah Marshall,105833257,63172463,42660794,2008.csv,2008,0.5969055927287582,0.4030944072712418
1240,Life as We Know It,105734416,53374681,52359735,2010.csv,2010,0.50479950634049,0.4952004936595101
1241,First Man,105697415,44936545,60760870,2018.csv,2018,0.4251432733714443,0.5748567266285557
1242,Planet 51,105647102,42194060,63453042,2009.csv,2009,0.39938681895883904,0.600613181041161
1243,The Brothers Grimm,105316267,37916267,67400000,2005.csv,2005,0.36002289181024616,0.6399771081897538
1244,Gangster Squad,105200903,46000903,59200000,2013.csv,2013,0.4372671877160598,0.5627328122839402
1245,Along Came a Spider,105178561,74078174,31100387,2001.csv,2001,0.7043086851131192,0.2956913148868808
1246,Sisters,105011053,87044645,17966408,2015.csv,2015,0.8289093625220576,0.17109063747794245
1247,The Campaign,104907746,86907746,18000000,2012.csv,2012,0.8284206773444546,0.17157932265554537
1248,Training Day,104876233,76631907,28244326,2001.csv,2001,0.7306889731632523,0.2693110268367477
1249,Let the Bullets Fly,104723314,63012,104660302,2010.csv,2010,0.0006016998277957476,0.9993983001722042
1250,Scary Stories to Tell in the Dark,104545505,68947075,35598430,2019.csv,2019,0.6594934425922951,0.3405065574077049
1251,The Hitchhiker's Guide to the Galaxy,104478416,51085416,53393000,2005.csv,2005,0.48895664727535687,0.5110433527246432
1252,Book Club,104438188,68566296,35871892,2018.csv,2018,0.6565251400187065,0.34347485998129346
1253,The Girl with the Dragon Tattoo,104414200,10095170,94319030,2009.csv,2009,0.09668388016189369,0.9033161198381063
1254,The Tuxedo,104391623,50547998,53843625,2002.csv,2002,0.4842150792118636,0.5157849207881364
1255,The Cell,104155843,61334059,42821784,2000.csv,2000,0.5888681540410555,0.4111318459589444
1256,Little Man,104003322,58645052,45358270,2006.csv,2006,0.5638767192455642,0.4361232807544359
1257,The Water Horse,103967384,40946255,63021129,2007.csv,2007,0.3938375038848722,0.6061624961151278
1258,Wrath of Man,103966489,27466489,76500000,2021.csv,2021,0.26418598208120697,0.7358140179187931
1259,The Tales of Wukong,103818506,0,103818506,2017.csv,2017,0.0,1.0
1260,Ouija,103590271,50856010,52734261,2014.csv,2014,0.49093423068658637,0.5090657693134136
1261,The Stepford Wives,103370127,59484742,43885385,2004.csv,2004,0.5754538929801257,0.42454610701987433
1262,Rugrats in Paris,103291131,76507756,26783375,2000.csv,2000,0.7407001478181123,0.2592998521818877
1263,Birdman or (The Unexpected Virtue of Ignorance),103215094,42340598,60874496,2014.csv,2014,0.41021711417518064,0.5897828858248194
1264,Cold War II,103197501,560824,102636677,2016.csv,2016,0.00543447268165922,0.9945655273183408
1265,Guess Who,103121466,68915888,34205578,2005.csv,2005,0.6682981795468268,0.33170182045317315
1266,Night School,103105878,77339130,25766748,2018.csv,2018,0.75009428657404,0.24990571342596005
1267,Saw,103096345,55185045,47911300,2004.csv,2004,0.5352764445723076,0.4647235554276924
1268,Transcendence,103039258,23022309,80016949,2014.csv,2014,0.22343240282262125,0.7765675971773788
1269,Jimmy Neutron: Boy Genius,102992536,80936232,22056304,2001.csv,2001,0.7858456072972123,0.21415439270278772
1270,Resident Evil,102984862,40119709,62865153,2002.csv,2002,0.3895689931594024,0.6104310068405976
1271,Jigsaw,102952888,38052832,64900056,2017.csv,2017,0.3696140316141496,0.6303859683858505
1272,Just Like Heaven,102854431,48318130,54536301,2005.csv,2005,0.4697719828910434,0.5302280171089566
1273,Love & Other Drugs,102820008,32367005,70453003,2010.csv,2010,0.31479286599549766,0.6852071340045023
1274,Chappie,102811889,31569268,71242621,2015.csv,2015,0.3070585348354022,0.6929414651645979
1275,Star Wars: Episode I - The Phantom Menace 2012 3D Release,102739593,43456382,59283211,2012.csv,2012,0.4229759991359903,0.5770240008640096
1276,Project X,102731865,54731865,48000000,2012.csv,2012,0.5327642499238187,0.46723575007618134
1277,Zombieland,102392080,75590286,26801794,2009.csv,2009,0.7382434852383114,0.2617565147616886
1278,Ghosts of Girlfriends Past,102366815,55250026,47116789,2009.csv,2009,0.5397259453661815,0.4602740546338186
1279,The Wild,102338515,37384046,64954469,2006.csv,2006,0.36529791349815854,0.6347020865018415
1280,Dawn of the Dead,102278712,59020957,43257755,2004.csv,2004,0.5770600337634287,0.4229399662365713
1281,John Q,102244770,71756802,30487968,2002.csv,2002,0.7018139118509436,0.29818608814905645
1282,Railroad Tigers,102205175,218044,101987131,2016.csv,2016,0.002133394908819441,0.9978666050911805
1283,Heaven Is for Real,101888019,91443253,10444766,2014.csv,2014,0.8974877900020806,0.10251220999791938
1284,Detective Conan: Zero the Enforcer,101860359,0,101860359,2018.csv,2018,0.0,1.0
1285,The Devil Inside,101758490,53261944,48496546,2012.csv,2012,0.5234152354265477,0.4765847645734523
1286,Pineapple Express,101624843,87341380,14283463,2008.csv,2008,0.8594491014367422,0.1405508985632578
1287,Just Married,101564935,56127162,45437773,2003.csv,2003,0.5526234226408947,0.4473765773591053
1288,Miss Congeniality 2: Armed & Fabulous,101393569,48478006,52915563,2005.csv,2005,0.4781171673718281,0.5218828326281719
1289,The Time Traveler's Wife,101344412,63414846,37929566,2009.csv,2009,0.625735990258644,0.37426400974135604
1290,Hitman,101276318,39687694,61588624,2007.csv,2007,0.3918753641892866,0.6081246358107134
1291,The Recruit,101191884,52802140,48389744,2003.csv,2003,0.5218021239727091,0.47819787602729086
1292,Joy,101134059,56451232,44682827,2015.csv,2015,0.5581822044737669,0.4418177955262332
1293,Little Miss Sunshine,101058954,59891098,41167856,2006.csv,2006,0.5926352453638101,0.4073647546361899
1294,Kung Fu Hustle,100912445,17108591,83803854,2004.csv,2004,0.16953896023429024,0.8304610397657097
1295,My Bloody Valentine,100734718,51545952,49188766,2009.csv,2009,0.5116999682274387,0.48830003177256126
1296,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",100654149,66954149,33700000,2014.csv,2014,0.665190155251325,0.334809844748675
1297,Silent Hill,100605135,46982632,53622503,2006.csv,2006,0.46700033750762326,0.5329996624923767
1298,Ladder 49,100572044,74541707,26030337,2004.csv,2004,0.7411772102394578,0.2588227897605422
1299,Life,100541806,30234022,70307784,2017.csv,2017,0.30071095003008,0.69928904996992
1300,Instructions Not Included,100486616,44467206,56019410,2013.csv,2013,0.44251869323572407,0.557481306764276
1301,Tammy,100375432,84525432,15850000,2014.csv,2014,0.8420928340313395,0.15790716596866053
1302,PK,100370104,10616104,89754000,2014.csv,2014,0.10576958254422054,0.8942304174557795
1303,Aftershock,100293273,62962,100230311,2010.csv,2010,0.0006277788940041871,0.9993722211059958
1304,The Good Shepherd,100266865,59952835,40314030,2006.csv,2006,0.5979326769616263,0.40206732303837367
1305,Where the Wild Things Are,100140096,77233467,22906629,2009.csv,2009,0.7712541737527394,0.22874582624726064
1306,Philomena,100129872,37709979,62419893,2013.csv,2013,0.376610678180034,0.623389321819966
1307,The Continent,100125957,0,100125957,2014.csv,2014,0.0,1.0
1308,Nim's Island,100104565,48006762,52097803,2008.csv,2008,0.4795661616430779,0.520433838356922
1309,Don't Say a Word,100020092,55001642,45018450,2001.csv,2001,0.5499059328999617,0.45009406710003824
1310,Atomic Blonde,100014025,51687870,48326155,2017.csv,2017,0.5168062179279356,0.48319378207206437
1311,The Book of Life,99783556,50151543,49632013,2014.csv,2014,0.5026032846534353,0.4973967153465647
1312,Black Mass,99775678,62575678,37200000,2015.csv,2015,0.6271636460340565,0.3728363539659435
1313,Insidious,99557032,54009150,45547882,2011.csv,2011,0.5424945773795266,0.45750542262047345
1314,Line Walker 2: Invisible Spy,99482027,296751,99185276,2019.csv,2019,0.002982960932229497,0.9970170390677705
1315,The Lucky One,99357138,60457138,38900000,2012.csv,2012,0.6084830865397914,0.39151691346020856
1316,Hellboy,99318987,59623958,39695029,2004.csv,2004,0.600327890980201,0.399672109019799
1317,Shanghai Noon,99274467,56937502,42336965,2000.csv,2000,0.5735362145031713,0.42646378549682873
1318,Nacho Libre,99255460,80197993,19057467,2006.csv,2006,0.8079957817937673,0.19200421820623267
1319,Blue Jasmine,99104804,33405481,65699323,2013.csv,2013,0.3370722674553698,0.6629277325446302
1320,Ode to My Father,99085291,2300121,96785170,2014.csv,2014,0.023213546398122804,0.9767864536018772
1321,Justin Bieber: Never Say Never,99036827,73013910,26022917,2011.csv,2011,0.7372399965923787,0.2627600034076213
1322,Young Detective Dee: Rise of the Sea Dragon,98774891,87783,98687108,2013.csv,2013,0.0008887177612780155,0.999111282238722
1323,Spotlight,98690254,45055776,53634478,2015.csv,2015,0.45653723821604514,0.5434627617839549
1324,Umizaru 3: The Last Message,98663381,0,98663381,2010.csv,2010,0.0,1.0
1325,Devil and Angel,98599942,131058,98468884,2015.csv,2015,0.0013291894228497619,0.9986708105771502
1326,The Visit,98450062,65206105,33243957,2015.csv,2015,0.6623267032579421,0.3376732967420579
1327,Crash,98410061,54580300,43829761,2005.csv,2005,0.5546211377716757,0.4453788622283244
1328,Evolution,98376292,38345494,60030798,2001.csv,2001,0.38978389224102894,0.6102161077589711
1329,Riddick,98337295,42025135,56312160,2013.csv,2013,0.4273570368190421,0.572642963180958
1330,Deep Sea,98230905,46412757,51818148,2006.csv,2006,0.47248630153616117,0.5275136984638389
1331,Alpha,98203196,35857181,62346015,2018.csv,2018,0.36513252582940375,0.6348674741705962
1332,Killers,98159963,47059963,51100000,2010.csv,2010,0.4794211566685289,0.5205788433314711
1333,Once Upon a Time in Mexico,98096026,56359780,41736246,2003.csv,2003,0.5745368318997958,0.4254631681002042
1334,Paul,97984015,37412945,60571070,2011.csv,2011,0.3818270255612612,0.6181729744387388
1335,Along With the Gods: The Last 49 Days,97962238,1200246,96761992,2018.csv,2018,0.012252129233715547,0.9877478707662845
1336,Are We There Yet?,97918663,82674398,15244265,2005.csv,2005,0.8443170634386623,0.15568293656133764
1337,Fred Claus,97838349,72006777,25831572,2007.csv,2007,0.7359770247145114,0.2640229752854885
1338,Phone Booth,97837138,46566212,51270926,2003.csv,2003,0.4759564001146477,0.5240435998853523
1339,I Am Sam,97818139,40311852,57506287,2001.csv,2001,0.4121101915463757,0.5878898084536244
1340,A Simple Favor,97644617,53548586,44096031,2018.csv,2018,0.5484028474401206,0.4515971525598795
1341,Safe Haven,97594140,71349120,26245020,2013.csv,2013,0.7310799603336839,0.26892003966631606
1342,The Little Prince,97571250,1339152,96232098,2015.csv,2015,0.013724862600407395,0.9862751373995926
1343,Evil Dead,97542952,54239856,43303096,2013.csv,2013,0.5560612518677925,0.44393874813220746
1344,42,97470701,95020213,2450488,2013.csv,2013,0.9748592348792074,0.025140765120792555
1345,Scream 4,97138686,38180928,58957758,2011.csv,2011,0.39305584183010256,0.6069441581698974
1346,Jarhead,97076152,62658220,34417932,2005.csv,2005,0.6454543027210226,0.35454569727897745
1347,Legend of the Demon Cat,97051623,0,97051623,2017.csv,2017,0.0,1.0
1348,Enemy at the Gates,96976270,51401758,45574512,2001.csv,2001,0.530044700626246,0.469955299373754
1349,The Shack,96942115,57386418,39555697,2017.csv,2017,0.5919658138261168,0.40803418617388326
1350,Boonie Bears 5,96820519,0,96820519,2018.csv,2018,0.0,1.0
1351,Old Dogs,96753696,49492060,47261636,2009.csv,2009,0.5115262986956075,0.48847370130439255
1352,The Butterfly Effect,96693417,57938693,38754724,2004.csv,2004,0.5991999744925759,0.40080002550742416
1353,Christmas with the Kranks,96572480,73780539,22791941,2004.csv,2004,0.7639913461888935,0.23600865381110644
1354,The Rite,96560591,33047633,63512958,2011.csv,2011,0.34224762563849676,0.6577523743615032
1355,13 Going on 30,96455697,57231747,39223950,2004.csv,2004,0.5933475033620875,0.4066524966379124
1356,Vicky Cristina Barcelona,96409300,23216709,73192591,2008.csv,2008,0.24081399823461014,0.7591860017653899
1357,Contraband,96262212,66528000,29734212,2012.csv,2012,0.6911123131057907,0.3088876868942093
1358,Red Eye,96258201,57891803,38366398,2005.csv,2005,0.6014220336405415,0.3985779663594586
1359,Kick-Ass,96188903,48071303,48117600,2010.csv,2010,0.4997593433413,0.5002406566587
1360,The Tigger Movie,96159800,45554533,50605267,2000.csv,2000,0.4737378093548448,0.5262621906451552
1361,Assassination,96119773,1904682,94215091,2015.csv,2015,0.019815714712518098,0.9801842852874819
1362,The Manchurian Candidate,96105910,65955630,30150280,2004.csv,2004,0.6862806876288877,0.3137193123711122
1363,The 6th Day,96085477,34604280,61481197,2000.csv,2000,0.36014058607420973,0.6398594139257903
1364,Think Like a Man,96070507,91547205,4523302,2012.csv,2012,0.9529168509540602,0.04708314904593977
1365,Dolphin Tale,95932565,72286779,23645786,2011.csv,2011,0.7535165874069978,0.2464834125930022
1366,The Favourite,95918706,34366783,61551923,2018.csv,2018,0.35829072798375744,0.6417092720162426
1367,Teenage Mutant Ninja Turtles IV: Immortal,95797812,54149098,41648714,2007.csv,2007,0.5652435777969542,0.4347564222030457
1368,Be Cool,95763716,56046979,39716737,2005.csv,2005,0.5852632013569733,0.41473679864302676
1369,Qing sheng,95721320,100026,95621294,2016.csv,2016,0.001044970963626494,0.9989550290363735
1370,My Sister's Keeper,95714875,49200230,46514645,2009.csv,2009,0.5140290890000118,0.48597091099998824
1371,Underworld,95708457,51970690,43737767,2003.csv,2003,0.5430104259229673,0.4569895740770327
1372,Shooter,95696996,47003582,48693414,2007.csv,2007,0.49117092452933425,0.5088290754706658
1373,Detective Conan: The Scarlet Bullet,95659979,0,95659979,2021.csv,2021,0.0,1.0
1374,The New King of Comedy,95618308,0,95618308,2019.csv,2019,0.0,1.0
1375,Poltergeist,95437994,47425125,48012869,2015.csv,2015,0.49692080703205055,0.5030791929679495
1376,The Mortal Instruments: City of Bones,95396573,31165421,64231152,2013.csv,2013,0.32669329746258285,0.6733067025374172
1377,Truth or Dare,95330493,41411015,53919478,2018.csv,2018,0.43439421843753606,0.565605781562464
1378,Rush,95224595,26947624,68276971,2013.csv,2013,0.28299016656358583,0.7170098334364142
1379,40 Days and 40 Nights,95146283,37950822,57195461,2002.csv,2002,0.3988681512655623,0.6011318487344377
1380,The Hustle,95017038,35417038,59600000,2019.csv,2019,0.3727440756467277,0.6272559243532723
1381,Adoring,94975692,0,94975692,2019.csv,2019,0.0,1.0
1382,The Guardian,94973540,55011732,39961808,2006.csv,2006,0.5792321945670341,0.4207678054329659
1383,Changing Lanes,94935764,66818548,28117216,2002.csv,2002,0.7038290438153528,0.2961709561846471
1384,Green Zone,94882549,35053660,59828889,2009.csv,2009,0.36944264640276475,0.6305573535972353
1385,Kill Mobile,94870905,0,94870905,2018.csv,2018,0.0,1.0
1386,The Wedding Planner,94728529,60400856,34327673,2001.csv,2001,0.6376205419594344,0.3623794580405656
1387,I Feel Pretty,94539426,48795601,45743825,2018.csv,2018,0.5161402291568811,0.48385977084311893
1388,Veteran,94393020,1200627,93192393,2015.csv,2015,0.01271944684045494,0.9872805531595451
1389,Masquerade,94268432,922921,93345511,2012.csv,2012,0.009790350602203715,0.9902096493977963
1390,Police Story: Lockdown,94249025,0,94249025,2013.csv,2013,0.0,1.0
1391,Fleet of Time,94244191,569280,93674911,2014.csv,2014,0.006040478399353017,0.9939595216006469
1392,Dirty Grandpa,94073028,35593113,58479915,2016.csv,2016,0.378356195784407,0.6216438042155931
1393,Ben-Hur,94061311,26410477,67650834,2016.csv,2016,0.2807793844166174,0.7192206155833827
1394,Blockers,94017294,60311495,33705799,2018.csv,2018,0.6414936277574634,0.35850637224253656
1395,The Skeleton Key,93983911,47907715,46076196,2005.csv,2005,0.5097437900833899,0.49025620991661006
1396,Syriana,93974620,50824620,43150000,2005.csv,2005,0.540833471845909,0.459166528154091
1397,Speed Racer,93945766,43945766,50000000,2008.csv,2008,0.46777803695804665,0.5322219630419533
1398,In the Heart of the Sea,93920758,25020758,68900000,2015.csv,2015,0.26640285420183685,0.7335971457981632
1399,The Man from Macau,93864936,0,93864936,2014.csv,2014,0.0,1.0
1400,Nothing to Declare,93811164,0,93811164,2011.csv,2011,0.0,1.0
1401,Kill Zone 2,93638358,11998,93626360,2015.csv,2015,0.00012813125151126635,0.9998718687484888
1402,PAW Patrol: The Movie,93634155,35393497,58240658,2021.csv,2021,0.3779977188879421,0.6220022811120579
1403,The Lovely Bones,93621340,44114232,49507108,2009.csv,2009,0.47119846821248235,0.5288015317875177
1404,The Internship,93492844,44672764,48820080,2013.csv,2013,0.4778201420421011,0.5221798579578989
1405,BlacKkKlansman,93400823,49275340,44125483,2018.csv,2018,0.5275685847008008,0.47243141529919924
1406,Calendar Girls,93400759,31041759,62359000,2003.csv,2003,0.3323501792956522,0.6676498207043479
1407,Goosebumps 2: Haunted Halloween,93320380,46700633,46619747,2018.csv,2018,0.5004333780038187,0.49956662199618135
1408,Money Monster,93282604,41012075,52270529,2016.csv,2016,0.43965405382551287,0.5603459461744872
1409,Nanny McPhee Returns,93251121,29011215,64239906,2010.csv,2010,0.3111084852266816,0.6888915147733183
1410,Michael Clayton,92991835,49033882,43957953,2007.csv,2007,0.5272923370100181,0.47270766298998185
1411,Secret Window,92913171,48022900,44890271,2004.csv,2004,0.5168578306298469,0.48314216937015314
1412,The Family Stone,92884429,60062868,32821561,2005.csv,2005,0.646640870236711,0.353359129763289
1413,House of Flying Daggers,92863945,11050094,81813851,2004.csv,2004,0.11899229566437222,0.8810077043356278
1414,Train to Busan,92742323,2129768,90612555,2016.csv,2016,0.022964359001445327,0.9770356409985547
1415,Role Models,92649419,67294270,25355149,2008.csv,2008,0.7263323475347427,0.2736676524652572
