Rank,Release Group,Worldwide,Domestic,%,Foreign,%
88,Monkey King Reborn,"$13,000,000",-,-,"$13,000,000",100%
89,No Escapes,"$12,877,025",-,-,"$12,877,025",100%
90,Character,"$12,571,501",-,-,"$12,571,501",100%
91,OSS 117: From Africa with Love,"$12,497,791",-,-,"$12,497,791",100%
92,On Your Mark,"$12,100,000",-,-,"$12,100,000",100%
93,Hostage: Missing Celebrity,"$11,722,849",-,-,"$11,722,849",100%
94,The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,-,"$11,325,545",100%
95,Krack,"$10,442,916",-,-,"$10,442,916",100%
96,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
97,Realm of Terracotta,"$10,341,512",-,-,"$10,341,512",100%
98,Detective Conan: The Scarlet Alibi,"$10,308,627",-,-,"$10,308,627",100%
99,Never Stop,"$10,224,935",-,-,"$10,224,935",100%
100,The Stronghold,"$9,701,960",-,-,"$9,701,960",100%
101,The Soul,"$9,600,000",-,-,"$9,600,000",100%
102,Kaiserschmarrndrama,"$9,415,179",-,-,"$9,415,179",100%
103,After We Fell,"$9,200,144",-,-,"$9,200,144",100%
104,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
105,¡A todo tren! Destino Asturias,"$8,829,755",-,-,"$8,829,755",100%
106,Agent Backkom: Kings Bear,"$8,500,000",-,-,"$8,500,000",100%
107,Honey Lemon Soda,"$8,441,488",-,-,"$8,441,488",100%
108,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
109,White Snake 2: Green Snake,"$8,170,000",-,-,"$8,170,000",100%
110,New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%
111,The Night House,"$8,046,736","$6,395,705",79.5%,"$1,651,031",20.5%
112,The Tomorrow War,"$8,000,000",-,-,"$8,000,000",100%
113,Hard Hit,"$7,901,585",-,-,"$7,901,585",100%
114,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%
115,The Protege,"$7,606,227","$7,016,429",92.2%,"$589,798",7.8%
116,The Mauritanian,"$7,527,030","$836,536",11.1%,"$6,690,494",88.9%
117,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
118,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%
119,The Medium,"$7,334,263",-,-,"$7,334,263",100%
120,Dad,"$7,200,771",-,-,"$7,200,771",100%
121,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
122,Are You Lonesome Tonight?,"$6,900,000",-,-,"$6,900,000",100%
123,Extinct,"$6,844,303",-,-,"$6,844,303",100%
